engine,query_id,repetition,planner_ms,planner_binding_ms,optimizer_ms,physical_planner_ms,status
duckdb,query_93,1,1.9698,1.9230,1.7058,0.2672,ok
duckdb,query_94,1,1.2802,1.2764,1.3472,0.1204,ok
duckdb,query_95,1,0.5698,0.5511,0.8688,0.1250,ok
duckdb,query_96,1,1.0385,0.9999,1.0828,0.1260,ok
duckdb,query_97,1,0.6697,0.6666,1.5502,0.0951,ok
duckdb,query_98,1,1.2823,1.2309,1.1268,0.2517,ok
duckdb,query_99,1,0.6007,0.5972,0.7008,0.1277,ok
duckdb,query_1,2,0.2795,0.2765,0.5158,0.0638,ok
duckdb,query_10,2,0.8577,0.8221,1.1719,0.1836,ok
duckdb,query_11,2,0.8918,0.8877,0.5455,0.0920,ok
duckdb,query_12,2,0.4576,0.4505,0.5285,0.0692,ok
duckdb,query_13,2,0.5113,0.5079,1.0326,0.0843,ok
duckdb,query_14,2,0.5971,0.5946,0.6735,0.0499,ok
duckdb,query_15,2,0.4213,0.4175,0.5017,0.0643,ok
duckdb,query_16,2,0.3454,0.3423,0.6209,0.0781,ok
duckdb,query_17,2,0.8263,0.8084,0.7895,0.0942,ok
duckdb,query_18,2,0.3965,0.3933,0.7374,0.0940,ok
duckdb,query_19,2,1.1590,1.1088,1.3239,0.1852,ok
duckdb,query_2,2,0.3285,0.3251,0.6124,0.0702,ok
duckdb,query_20,2,1.2628,1.2210,3.6489,0.2721,ok
duckdb,query_21,2,0.4565,0.4532,0.5799,0.0699,ok
duckdb,query_22,2,0.6893,0.6618,1.2873,0.1937,ok
duckdb,query_23,2,0.4771,0.4740,0.7870,0.0977,ok
duckdb,query_24,2,5.1030,5.0988,1.2807,0.0892,ok
duckdb,query_25,2,0.7386,0.7193,0.7965,0.0950,ok
duckdb,query_26,2,1.4174,1.3846,1.2871,0.1551,ok
duckdb,query_27,2,0.6567,0.6539,0.7171,0.0616,ok
duckdb,query_28,2,1.4265,1.3946,1.1707,0.1311,ok
duckdb,query_29,2,0.6981,0.6704,1.1504,0.1501,ok
duckdb,query_3,2,0.8017,0.7816,1.5366,0.1749,ok
duckdb,query_30,2,0.9590,0.9392,0.8517,0.1604,ok
duckdb,query_31,2,0.3241,0.3204,0.4757,0.0588,ok
duckdb,query_32,2,0.4275,0.4241,0.5390,0.0673,ok
duckdb,query_33,2,0.7857,0.7822,2.1243,0.1258,ok
