engine,query_id,repetition,planner_ms,planner_binding_ms,optimizer_ms,physical_planner_ms,status
duckdb,query_join_J50,1,6.8383,6.8327,5.4825,7.1743,ok
duckdb,query_union_U10,1,2.0243,1.9598,0.7791,2.2928,ok
duckdb,query_union_U2,1,0.4695,0.4574,0.3102,0.6150,ok
duckdb,query_union_U20,1,4.4563,4.2845,1.4212,4.5698,ok
duckdb,query_union_U5,1,1.0102,0.9710,0.4426,1.1927,ok
duckdb,query_1,2,0.4973,0.4944,0.4136,0.6466,ok
duckdb,query_10,2,1.6692,1.6397,1.1094,2.5179,ok
duckdb,query_11,2,0.5353,0.5327,0.3035,0.5227,ok
duckdb,query_12,2,0.6629,0.6570,0.4407,1.0432,ok
duckdb,query_13,2,0.5551,0.5522,0.8769,1.1372,ok
duckdb,query_14,2,0.5424,0.5401,0.4950,0.6018,ok
duckdb,query_15,2,0.5893,0.5866,0.4856,0.8024,ok
duckdb,query_17,2,1.1340,1.1152,0.6493,1.3820,ok
duckdb,query_18,2,0.5433,0.5406,0.6263,1.0346,ok
duckdb,query_2,2,0.4379,0.4353,0.4938,0.6596,ok
duckdb,query_20,2,3.2340,3.2063,3.2564,6.6173,ok
duckdb,query_21,2,0.5865,0.5838,0.4533,0.7698,ok
duckdb,query_22,2,1.5628,1.5419,1.1180,2.3701,ok
duckdb,query_23,2,0.8558,0.8530,0.7807,1.8645,ok
duckdb,query_24,2,1.0560,1.0531,0.8904,1.0651,ok
duckdb,query_25,2,1.0339,1.0190,0.6581,1.3790,ok
duckdb,query_26,2,2.1316,2.1079,1.3992,4.0462,ok
duckdb,query_27,2,0.7572,0.7548,0.6335,0.8918,ok
duckdb,query_28,2,2.0754,2.0531,1.1181,2.5960,ok
duckdb,query_3,2,1.8485,1.8312,1.2217,3.7382,ok
duckdb,query_30,2,1.2697,1.2611,0.8203,1.9148,ok
duckdb,query_31,2,0.5112,0.5087,0.5023,0.8940,ok
duckdb,query_32,2,0.4060,0.4034,0.3568,0.6537,ok
duckdb,query_33,2,0.8910,0.8881,1.5855,1.4164,ok
duckdb,query_35,2,0.5955,0.5930,0.4014,0.6281,ok
duckdb,query_36,2,1.7514,1.7487,1.4021,1.3763,ok
duckdb,query_37,2,0.9068,0.8866,0.5711,1.8914,ok
duckdb,query_39,2,2.4869,2.4835,1.6554,2.6142,ok
duckdb,query_4,2,0.5782,0.5758,0.5094,1.0444,ok
duckdb,query_40,2,0.7391,0.7364,0.5684,1.1440,ok
duckdb,query_41,2,0.7910,0.7876,1.7107,1.6808,ok
duckdb,query_42,2,1.0775,1.0591,0.8028,1.7569,ok
duckdb,query_43,2,0.8453,0.8401,0.9221,1.4693,ok
duckdb,query_44,2,0.5995,0.5883,0.4773,1.0520,ok
duckdb,query_45,2,0.2994,0.2970,0.3440,0.6146,ok
duckdb,query_46,2,0.8324,0.8203,0.4548,1.0346,ok
duckdb,query_47,2,2.0700,2.0462,1.2684,3.3905,ok
duckdb,query_48,2,1.7623,1.7593,1.1624,2.8968,ok
duckdb,query_49,2,3.2425,3.2379,1.0984,2.4582,ok
duckdb,query_5,2,0.6924,0.6824,0.5315,1.2227,ok
duckdb,query_50,2,1.2108,1.1997,1.6694,2.9458,ok
duckdb,query_51,2,1.2236,1.2103,1.2697,2.9780,ok
duckdb,query_52,2,0.3233,0.3210,0.2639,0.4377,ok
duckdb,query_53,2,0.6974,0.6946,1.6239,1.2776,ok
duckdb,query_54,2,0.8120,0.8094,0.5380,1.7954,ok
duckdb,query_55,2,0.2991,0.2967,0.2141,0.3697,ok
duckdb,query_56,2,0.5712,0.5689,0.5764,0.8966,ok
duckdb,query_57,2,0.4789,0.4763,0.5299,0.8573,ok
duckdb,query_58,2,0.6180,0.6153,0.6410,1.2275,ok
duckdb,query_59,2,0.3505,0.3479,0.3637,0.5934,ok
duckdb,query_6,2,2.6792,2.6486,1.7493,3.5911,ok
duckdb,query_60,2,0.6525,0.6493,0.7284,1.1565,ok
duckdb,query_61,2,0.3390,0.3364,0.3288,0.5721,ok
duckdb,query_62,2,0.9532,0.9265,1.2178,1.2409,ok
duckdb,query_63,2,2.6759,2.6728,1.9090,2.3728,ok
duckdb,query_64,2,0.3989,0.3963,0.3626,0.6491,ok
duckdb,query_65,2,0.3931,0.3906,0.3588,0.6633,ok
duckdb,query_66,2,3.8238,3.8196,21.8604,4.5183,ok
duckdb,query_67,2,0.3912,0.3883,0.4252,0.6830,ok
duckdb,query_68,2,1.7168,1.6950,0.8714,2.3064,ok
duckdb,query_69,2,2.7480,2.7272,1.7253,5.1587,ok
duckdb,query_7,2,0.6215,0.6070,0.5115,1.3209,ok
duckdb,query_70,2,1.0439,1.0266,0.7998,1.6149,ok
duckdb,query_71,2,0.6880,0.6853,0.4873,1.3560,ok
duckdb,query_73,2,0.7159,0.7132,0.7640,1.2863,ok
duckdb,query_74,2,0.5833,0.5805,0.7449,0.8094,ok
duckdb,query_75,2,0.7164,0.7020,0.6029,1.7085,ok
duckdb,query_76,2,1.3660,1.3543,0.8120,2.2187,ok
duckdb,query_77,2,0.7963,0.7940,0.5307,1.7762,ok
duckdb,query_79,2,0.6659,0.6634,0.6608,1.1630,ok
duckdb,query_8,2,0.5240,0.5210,0.7329,1.0438,ok
duckdb,query_80,2,0.4293,0.4268,0.4832,0.5961,ok
duckdb,query_81,2,1.7238,1.6997,1.0612,2.3274,ok
duckdb,query_82,2,0.2444,0.2421,0.2619,0.3407,ok
duckdb,query_83,2,1.6106,1.5878,1.0663,2.2119,ok
duckdb,query_84,2,1.1973,1.1831,0.6052,1.3500,ok
duckdb,query_85,2,0.4882,0.4856,0.5087,0.7202,ok
duckdb,query_86,2,0.5590,0.5563,0.5041,0.8537,ok
duckdb,query_87,2,1.0666,1.0636,3.5206,2.1167,ok
duckdb,query_88,2,0.8604,0.8577,0.7136,1.0360,ok
duckdb,query_89,2,0.6284,0.6259,0.5245,1.0784,ok
duckdb,query_9,2,0.7549,0.7520,1.7094,1.2847,ok
duckdb,query_91,2,0.7025,0.6999,0.9466,1.0313,ok
duckdb,query_92,2,0.9158,0.9041,1.0384,1.4265,ok
duckdb,query_93,2,2.0951,2.0760,2.5041,4.3041,ok
duckdb,query_94,2,1.2602,1.2572,1.1084,0.8798,ok
duckdb,query_95,2,0.8698,0.8669,0.8488,1.7609,ok
duckdb,query_97,2,1.1149,1.1119,1.2849,1.7987,ok
duckdb,query_98,2,2.0514,2.0203,1.0554,2.6201,ok
duckdb,query_99,2,0.7497,0.7467,0.4628,1.2673,ok
duckdb,query_join_J100,2,12.4133,12.4050,12.2333,11.0463,ok
duckdb,query_join_J200,2,25.4140,25.4001,38.1135,20.4267,ok
duckdb,query_join_J50,2,6.6872,6.6805,5.3230,8.5884,ok
duckdb,query_union_U10,2,2.1307,2.0677,0.7633,2.3675,ok
duckdb,query_union_U2,2,0.4978,0.4854,0.3093,0.6455,ok
duckdb,query_union_U20,2,4.6007,4.4245,1.4201,4.5993,ok
duckdb,query_union_U5,2,1.0224,0.9965,0.4436,1.1956,ok
duckdb,query_1,3,0.4859,0.4830,0.4301,0.6703,ok
duckdb,query_10,3,1.6542,1.6339,1.1115,2.4869,ok
duckdb,query_11,3,0.5361,0.5336,0.3050,0.5347,ok
duckdb,query_12,3,0.6549,0.6492,0.4417,1.0318,ok
duckdb,query_13,3,0.5609,0.5583,0.8594,1.1450,ok
duckdb,query_14,3,0.5487,0.5461,0.5110,0.5982,ok
duckdb,query_15,3,0.5873,0.5849,0.4777,0.7833,ok
duckdb,query_17,3,1.0878,1.0688,0.6441,1.3906,ok
duckdb,query_18,3,0.5295,0.5270,0.6257,1.0527,ok
duckdb,query_2,3,0.4481,0.4455,0.4816,0.6556,ok
duckdb,query_20,3,3.2156,3.1878,3.2592,6.6772,ok
duckdb,query_21,3,0.6036,0.6012,0.4525,0.7750,ok
duckdb,query_22,3,1.5898,1.5645,1.1462,2.3227,ok
duckdb,query_23,3,0.8168,0.8134,0.7569,1.9302,ok
duckdb,query_24,3,1.0844,1.0808,0.9139,1.0439,ok
duckdb,query_25,3,1.0512,1.0386,0.6721,1.3669,ok
duckdb,query_26,3,2.0774,2.0542,1.3930,4.0645,ok
duckdb,query_27,3,0.7888,0.7864,0.6214,0.9275,ok
duckdb,query_28,3,2.1061,2.0831,1.1258,2.5677,ok
duckdb,query_3,3,1.8389,1.8217,1.2525,3.7007,ok
