suite,scale_factor,mode,mode_name,repetition,query_id,stage,elapsed_ms,status
prodds,100,i,Interpreted,1,__floor__,floor,0.207,ok
prodds,100,i,Interpreted,1,query_1,explain,1.590,ok
prodds,100,i,Interpreted,1,query_1,prepare,1.648,ok
prodds,100,i,Interpreted,1,query_10,explain,2.431,ok
prodds,100,i,Interpreted,1,query_10,prepare,5.240,ok
prodds,100,i,Interpreted,1,query_11,explain,0.739,ok
prodds,100,i,Interpreted,1,query_11,prepare,2.068,ok
prodds,100,i,Interpreted,1,query_12,explain,1.273,ok
prodds,100,i,Interpreted,1,query_12,prepare,3.339,ok
prodds,100,i,Interpreted,1,query_13,explain,1.553,ok
prodds,100,i,Interpreted,1,query_13,prepare,2.853,ok
prodds,100,i,Interpreted,1,query_14,explain,0.715,ok
prodds,100,i,Interpreted,1,query_14,prepare,1.635,ok
prodds,100,i,Interpreted,1,query_15,explain,0.909,ok
prodds,100,i,Interpreted,1,query_15,prepare,2.157,ok
prodds,100,i,Interpreted,1,query_17,explain,1.180,ok
prodds,100,i,Interpreted,1,query_17,prepare,2.576,ok
prodds,100,i,Interpreted,1,query_18,explain,1.311,ok
prodds,100,i,Interpreted,1,query_18,prepare,3.027,ok
prodds,100,i,Interpreted,1,query_2,explain,1.062,ok
prodds,100,i,Interpreted,1,query_2,prepare,2.640,ok
prodds,100,i,Interpreted,1,query_20,explain,6.735,ok
prodds,100,i,Interpreted,1,query_20,prepare,9.894,ok
prodds,100,i,Interpreted,1,query_21,explain,0.952,ok
prodds,100,i,Interpreted,1,query_21,prepare,2.349,ok
prodds,100,i,Interpreted,1,query_22,explain,2.396,ok
prodds,100,i,Interpreted,1,query_22,prepare,4.370,ok
prodds,100,i,Interpreted,1,query_23,explain,2.058,ok
prodds,100,i,Interpreted,1,query_23,prepare,4.495,ok
prodds,100,i,Interpreted,1,query_24,explain,1.215,ok
prodds,100,i,Interpreted,1,query_24,prepare,2.456,ok
prodds,100,i,Interpreted,1,query_25,explain,1.360,ok
prodds,100,i,Interpreted,1,query_25,prepare,2.411,ok
prodds,100,i,Interpreted,1,query_26,explain,2.434,ok
prodds,100,i,Interpreted,1,query_26,prepare,5.363,ok
prodds,100,i,Interpreted,1,query_27,explain,1.116,ok
prodds,100,i,Interpreted,1,query_27,prepare,2.470,ok
prodds,100,i,Interpreted,1,query_28,explain,1.669,ok
prodds,100,i,Interpreted,1,query_28,prepare,3.598,ok
prodds,100,i,Interpreted,1,query_3,explain,2.997,ok
prodds,100,i,Interpreted,1,query_3,prepare,7.030,ok
prodds,100,i,Interpreted,1,query_30,explain,1.902,ok
prodds,100,i,Interpreted,1,query_30,prepare,4.524,ok
prodds,100,i,Interpreted,1,query_31,explain,1.014,ok
prodds,100,i,Interpreted,1,query_31,prepare,2.603,ok
prodds,100,i,Interpreted,1,query_32,explain,0.710,ok
prodds,100,i,Interpreted,1,query_32,prepare,2.290,ok
prodds,100,i,Interpreted,1,query_33,explain,2.553,ok
prodds,100,i,Interpreted,1,query_33,prepare,4.486,ok
prodds,100,i,Interpreted,1,query_35,explain,0.749,ok
prodds,100,i,Interpreted,1,query_35,prepare,2.779,ok
prodds,100,i,Interpreted,1,query_36,explain,2.535,ok
prodds,100,i,Interpreted,1,query_36,prepare,5.203,ok
prodds,100,i,Interpreted,1,query_37,explain,1.203,ok
prodds,100,i,Interpreted,1,query_37,prepare,3.542,ok
prodds,100,i,Interpreted,1,query_39,explain,2.377,ok
prodds,100,i,Interpreted,1,query_39,prepare,5.082,ok
prodds,100,i,Interpreted,1,query_4,explain,1.839,ok
prodds,100,i,Interpreted,1,query_4,prepare,3.251,ok
prodds,100,i,Interpreted,1,query_40,explain,1.341,ok
prodds,100,i,Interpreted,1,query_40,prepare,2.220,ok
prodds,100,i,Interpreted,1,query_41,explain,2.402,ok
prodds,100,i,Interpreted,1,query_41,prepare,5.473,ok
prodds,100,i,Interpreted,1,query_42,explain,1.726,ok
prodds,100,i,Interpreted,1,query_42,prepare,4.931,ok
prodds,100,i,Interpreted,1,query_43,explain,2.236,ok
prodds,100,i,Interpreted,1,query_43,prepare,3.491,ok
prodds,100,i,Interpreted,1,query_44,explain,1.067,ok
prodds,100,i,Interpreted,1,query_44,prepare,1.925,ok
prodds,100,i,Interpreted,1,query_45,explain,0.954,ok
prodds,100,i,Interpreted,1,query_45,prepare,2.106,ok
prodds,100,i,Interpreted,1,query_46,explain,0.940,ok
prodds,100,i,Interpreted,1,query_46,prepare,4.127,ok
prodds,100,i,Interpreted,1,query_47,explain,1.918,ok
prodds,100,i,Interpreted,1,query_47,prepare,4.173,ok
prodds,100,i,Interpreted,1,query_48,explain,2.211,ok
prodds,100,i,Interpreted,1,query_48,prepare,5.932,ok
prodds,100,i,Interpreted,1,query_49,explain,1.988,ok
prodds,100,i,Interpreted,1,query_49,prepare,3.406,ok
prodds,100,i,Interpreted,1,query_5,explain,0.988,ok
prodds,100,i,Interpreted,1,query_5,prepare,2.379,ok
prodds,100,i,Interpreted,1,query_50,explain,2.091,ok
prodds,100,i,Interpreted,1,query_50,prepare,4.044,ok
prodds,100,i,Interpreted,1,query_51,explain,2.022,ok
prodds,100,i,Interpreted,1,query_51,prepare,4.616,ok
prodds,100,i,Interpreted,1,query_52,explain,0.640,ok
prodds,100,i,Interpreted,1,query_52,prepare,1.510,ok
