engine,query_id,repetition,planner_ms,planner_binding_ms,optimizer_ms,physical_planner_ms,status
duckdb,query_93,1,2.5858,2.5668,1.2451,4.1038,ok
duckdb,query_94,1,1.2671,1.2645,1.1241,0.8459,ok
duckdb,query_95,1,0.6541,0.6517,0.6476,1.2858,ok
duckdb,query_96,1,1.5948,1.5747,0.9211,2.6424,ok
duckdb,query_97,1,1.0712,1.0683,1.3021,1.9011,ok
duckdb,query_98,1,1.8812,1.8516,0.9176,2.3539,ok
duckdb,query_99,1,0.7095,0.7066,0.4884,1.3073,ok
duckdb,query_1,2,0.4016,0.3987,0.4068,0.6010,ok
duckdb,query_10,2,1.5934,1.5739,1.0705,2.3524,ok
duckdb,query_11,2,0.5029,0.5003,0.3235,0.5458,ok
duckdb,query_12,2,0.5113,0.5060,0.3943,0.8756,ok
duckdb,query_13,2,0.5459,0.5433,0.8959,1.1176,ok
duckdb,query_14,2,0.5250,0.5227,0.5066,0.6077,ok
duckdb,query_15,2,0.5457,0.5430,0.3840,0.6122,ok
duckdb,query_16,2,0.4239,0.4215,0.4905,0.8026,ok
duckdb,query_17,2,1.0431,1.0248,0.5959,1.2069,ok
duckdb,query_18,2,0.5523,0.5497,0.6049,1.2264,ok
duckdb,query_19,2,2.6627,2.6422,1.1407,3.5066,ok
duckdb,query_2,2,0.3898,0.3871,0.4767,0.6813,ok
duckdb,query_20,2,2.9020,2.8755,3.1784,6.9764,ok
duckdb,query_21,2,0.6148,0.6119,0.4466,0.7994,ok
duckdb,query_22,2,1.5476,1.5269,1.1110,2.3913,ok
duckdb,query_23,2,0.6595,0.6570,0.6426,1.3869,ok
duckdb,query_24,2,1.2623,1.2594,1.1918,0.8510,ok
duckdb,query_25,2,1.0300,1.0160,0.6560,1.4389,ok
duckdb,query_26,2,2.0106,1.9876,1.1202,2.6844,ok
duckdb,query_27,2,0.7387,0.7364,0.6233,0.8550,ok
duckdb,query_28,2,1.9157,1.8934,1.0112,2.3266,ok
duckdb,query_29,2,1.5566,1.5359,1.0349,2.0754,ok
duckdb,query_3,2,1.5889,1.5730,1.3193,3.8604,ok
duckdb,query_30,2,1.1331,1.1247,0.7047,1.3116,ok
duckdb,query_31,2,0.3646,0.3621,0.3989,0.5171,ok
duckdb,query_32,2,0.3955,0.3928,0.3773,0.7033,ok
duckdb,query_33,2,0.9230,0.9202,1.8140,1.4923,ok
duckdb,query_34,2,0.8478,0.8447,0.6859,1.3708,ok
duckdb,query_35,2,0.5662,0.5636,0.4089,0.6654,ok
duckdb,query_36,2,1.6151,1.6122,1.3791,1.2868,ok
duckdb,query_37,2,0.8588,0.8406,0.5017,1.4310,ok
duckdb,query_38,2,0.5955,0.5866,0.4543,0.8210,ok
duckdb,query_39,2,3.9686,3.9646,2.8464,5.0535,ok
duckdb,query_4,2,0.5779,0.5753,0.4777,0.9023,ok
duckdb,query_40,2,0.7002,0.6977,0.5549,0.9097,ok
duckdb,query_41,2,0.7586,0.7554,1.7363,1.6370,ok
duckdb,query_42,2,1.0921,1.0733,0.8340,1.7272,ok
duckdb,query_43,2,0.7642,0.7590,0.8770,1.2454,ok
duckdb,query_44,2,0.5641,0.5532,0.5228,1.0040,ok
