engine,query_name,median_s,mean_s,stddev_s,n_success
duckdb,query_15.sql,0.560300,0.609016,0.074015,10
duckdb,query_16.sql,0.563993,0.557893,0.054802,10
duckdb,query_17.sql,1.416987,1.430510,0.083552,10
duckdb,query_19.sql,1.228721,1.250224,0.058206,10
duckdb,query_2.sql,1.055975,1.060706,0.066569,10
duckdb,query_20.sql,0.519988,0.531828,0.047370,10
duckdb,query_21.sql,0.483364,0.497951,0.048676,10
duckdb,query_22.sql,1.654954,1.697787,0.091727,10
duckdb,query_23.sql,1.312889,1.322624,0.049963,10
duckdb,query_24.sql,1.328622,1.336916,0.045927,10
duckdb,query_25.sql,0.832627,0.863825,0.083833,10
duckdb,query_26.sql,0.679225,0.718813,0.083486,10
duckdb,query_28.sql,1.035816,1.057162,0.062420,10
duckdb,query_29.sql,1.445399,1.456924,0.057752,10
duckdb,query_3.sql,1.349620,1.390271,0.087237,10
duckdb,query_30.sql,0.527884,0.539381,0.040489,10
duckdb,query_31.sql,1.139771,1.125636,0.064532,10
duckdb,query_32.sql,0.438590,0.449229,0.035502,10
duckdb,query_33.sql,1.322393,1.331449,0.076585,10
duckdb,query_34.sql,1.083298,1.112660,0.060941,10
duckdb,query_35.sql,1.389965,1.417088,0.093423,10
duckdb,query_36.sql,1.281609,1.294108,0.064826,10
duckdb,query_37.sql,0.724628,0.744062,0.066088,10
duckdb,query_38.sql,0.976129,0.998884,0.055100,10
duckdb,query_39.sql,0.453680,0.477987,0.046620,10
duckdb,query_4.sql,2.064975,2.066763,0.065886,10
duckdb,query_40.sql,0.620373,0.672022,0.089065,10
duckdb,query_41.sql,0.384564,0.408286,0.056261,10
duckdb,query_42.sql,1.026229,1.052749,0.071812,10
duckdb,query_43.sql,0.813812,0.850603,0.066823,10
duckdb,query_44.sql,0.839948,0.853518,0.053383,10
duckdb,query_45.sql,0.612410,0.629996,0.051591,10
duckdb,query_46.sql,1.616175,1.624708,0.074287,10
duckdb,query_47.sql,3.100296,3.074856,0.106292,10
duckdb,query_48.sql,1.295888,1.329016,0.074853,10
duckdb,query_49.sql,2.085801,2.087292,0.070424,10
duckdb,query_5.sql,1.347831,1.368276,0.060440,10
duckdb,query_50.sql,1.379589,1.390897,0.035898,10
duckdb,query_51.sql,1.794900,1.799449,0.047988,10
duckdb,query_52.sql,1.096235,1.140163,0.094118,10
duckdb,query_53.sql,0.981378,1.014753,0.057867,10
duckdb,query_54.sql,1.091779,1.128332,0.062871,10
duckdb,query_55.sql,0.843007,0.887296,0.069383,10
duckdb,query_56.sql,1.396079,1.341618,0.105926,10
duckdb,query_57.sql,1.365249,1.377578,0.066342,10
duckdb,query_59.sql,1.577111,1.536887,0.079944,10
duckdb,query_6.sql,0.811324,0.857353,0.081549,10
duckdb,query_61.sql,1.461296,1.486725,0.058960,10
duckdb,query_62.sql,0.555285,0.588195,0.059732,10
duckdb,query_63.sql,1.013502,1.033595,0.054400,10
duckdb,query_64.sql,2.933809,2.942738,0.058733,10
duckdb,query_65.sql,1.594387,1.582618,0.072264,10
duckdb,query_66.sql,0.823164,0.834969,0.049107,10
duckdb,query_67.sql,2.663711,2.654614,0.040821,10
duckdb,query_68.sql,1.599303,1.610246,0.056288,10
duckdb,query_69.sql,0.902075,0.914983,0.055888,10
duckdb,query_7.sql,1.569890,1.608369,0.083500,10
duckdb,query_72.sql,1.610306,1.620112,0.077936,10
duckdb,query_73.sql,1.024853,1.060645,0.075942,10
duckdb,query_74.sql,1.342539,1.372696,0.063730,10
duckdb,query_75.sql,7.235039,7.256475,0.145030,10
duckdb,query_76.sql,1.573445,1.609199,0.066230,10
duckdb,query_77.sql,1.171530,1.185523,0.074784,10
duckdb,query_78.sql,2.673207,2.695344,0.082774,10
duckdb,query_79.sql,1.431649,1.461058,0.071329,10
duckdb,query_8.sql,1.057056,1.086061,0.066794,10
duckdb,query_80.sql,1.938013,1.972630,0.090324,10
duckdb,query_81.sql,0.642154,0.667563,0.066622,10
duckdb,query_82.sql,0.448714,0.471879,0.045147,10
duckdb,query_84.sql,0.547316,0.576077,0.080010,10
duckdb,query_85.sql,0.754131,0.767631,0.059041,10
duckdb,query_86.sql,0.626679,0.651939,0.055625,10
duckdb,query_87.sql,1.003559,1.026325,0.057418,10
duckdb,query_88.sql,2.483871,2.489730,0.035866,10
duckdb,query_89.sql,1.182001,1.185183,0.093681,10
duckdb,query_9.sql,0.928448,0.949158,0.050411,10
duckdb,query_90.sql,0.665480,0.693816,0.057815,10
duckdb,query_91.sql,0.454321,0.479893,0.063117,10
duckdb,query_92.sql,0.587075,0.607803,0.059489,10
duckdb,query_93.sql,0.713455,0.755488,0.068534,10
duckdb,query_94.sql,0.552161,0.558984,0.026507,10
duckdb,query_95.sql,1.764372,1.812729,0.084882,10
duckdb,query_96.sql,0.870502,0.886839,0.059267,10
duckdb,query_98.sql,0.931666,0.967029,0.062779,10
duckdb,query_99.sql,0.600294,0.614277,0.043062,10
monetdb,query_1.sql,1.062730,1.145419,0.221616,10
monetdb,query_10.sql,2.484483,2.620437,0.423207,10
monetdb,query_11.sql,11.145366,11.200425,0.854988,10
monetdb,query_12.sql,0.182074,0.182855,0.139142,10
monetdb,query_13.sql,0.894111,0.984461,0.238783,10
monetdb,query_15.sql,0.129929,0.133720,0.015372,10
monetdb,query_16.sql,0.078261,0.091852,0.047048,10
monetdb,query_17.sql,14.994000,15.243223,1.050697,10
monetdb,query_19.sql,0.908174,1.355020,1.293417,10
monetdb,query_2.sql,16.372346,16.269049,0.420112,10
monetdb,query_20.sql,0.091737,0.134814,0.137747,10
monetdb,query_21.sql,0.287813,0.280769,0.029005,10
monetdb,query_22.sql,5.845391,5.889277,0.227976,10
monetdb,query_23.sql,12.527138,12.820646,0.866504,10
monetdb,query_24.sql,16.166368,16.727706,1.346435,10
monetdb,query_25.sql,8.112393,8.110654,0.271075,10
monetdb,query_26.sql,0.235001,0.230639,0.013649,10
monetdb,query_28.sql,0.287473,0.287343,0.005368,10
monetdb,query_29.sql,7.950585,8.004838,0.394959,10
monetdb,query_3.sql,1.676060,1.689816,0.143802,10
monetdb,query_30.sql,0.173627,0.174292,0.024190,10
monetdb,query_31.sql,13.113293,13.215395,0.510039,10
monetdb,query_32.sql,0.424553,0.455903,0.079125,10
monetdb,query_33.sql,0.938665,0.935860,0.637234,10
monetdb,query_34.sql,0.354897,0.412350,0.144896,10
monetdb,query_35.sql,2.354303,2.382647,0.253022,10
monetdb,query_36.sql,0.015638,0.015585,0.001442,10
monetdb,query_37.sql,0.544409,0.558517,0.059914,10
monetdb,query_38.sql,3.021445,2.963294,0.218865,10
monetdb,query_39.sql,9.296341,9.342880,0.338067,10
monetdb,query_4.sql,19.596242,20.106544,2.237978,10
monetdb,query_40.sql,0.792547,0.792795,0.027950,10
monetdb,query_41.sql,0.026479,0.045720,0.061336,10
monetdb,query_42.sql,1.027974,1.068823,0.163551,10
monetdb,query_43.sql,0.281730,0.280973,0.010442,10
monetdb,query_44.sql,0.316655,0.312223,0.027800,10
monetdb,query_45.sql,0.104909,0.102671,0.010370,10
monetdb,query_46.sql,1.465047,1.459433,0.108539,10
monetdb,query_47.sql,3.330159,3.480514,0.279084,10
monetdb,query_48.sql,0.909684,1.069036,0.318727,10
monetdb,query_49.sql,20.198369,20.744427,3.389803,10
monetdb,query_5.sql,16.455676,16.716097,4.627607,10
monetdb,query_50.sql,0.540971,0.552798,0.052692,10
monetdb,query_51.sql,2.826947,2.900632,0.294778,10
monetdb,query_52.sql,0.845692,0.841514,0.027685,10
monetdb,query_53.sql,0.361476,0.363736,0.008304,10
monetdb,query_54.sql,1.970941,2.004276,0.268966,10
monetdb,query_55.sql,0.116657,0.252182,0.290003,10
monetdb,query_56.sql,0.105569,0.114761,0.021128,10
monetdb,query_57.sql,0.631401,0.653783,0.086206,10
monetdb,query_59.sql,4.570511,4.643599,0.273614,10
monetdb,query_6.sql,1.961075,2.137013,0.507394,10
monetdb,query_61.sql,0.432527,0.437810,0.020480,10
monetdb,query_62.sql,0.230283,0.230157,0.004866,10
monetdb,query_63.sql,0.355769,0.355504,0.002432,10
monetdb,query_64.sql,12.101671,11.748359,1.616982,10
monetdb,query_65.sql,4.918485,4.826611,0.299970,10
monetdb,query_66.sql,0.651654,0.668394,0.108816,10
monetdb,query_67.sql,181.585944,175.126426,21.659333,10
monetdb,query_68.sql,1.342887,1.310426,0.087546,10
monetdb,query_69.sql,1.809203,1.860757,0.214414,10
monetdb,query_7.sql,0.417578,0.407445,0.029202,10
monetdb,query_72.sql,25.593539,25.559499,0.914005,10
monetdb,query_73.sql,0.658839,0.708416,0.109843,10
monetdb,query_74.sql,36.934527,36.990733,5.504079,10
monetdb,query_75.sql,68.767743,69.389055,3.998231,10
monetdb,query_76.sql,0.898356,0.984068,0.212736,10
monetdb,query_77.sql,6.385770,6.365960,0.097474,10
monetdb,query_78.sql,144.625067,142.951472,10.293070,10
monetdb,query_79.sql,0.556955,0.555455,0.014737,10
monetdb,query_8.sql,0.641333,0.618962,0.099542,10
monetdb,query_80.sql,90.310347,85.260894,14.827320,10
monetdb,query_81.sql,0.353395,0.354832,0.044608,10
monetdb,query_82.sql,0.147765,0.146651,0.011067,10
monetdb,query_84.sql,0.141427,0.144919,0.007440,10
monetdb,query_85.sql,0.280812,0.281134,0.005927,10
monetdb,query_86.sql,0.013744,0.013706,0.000461,10
monetdb,query_87.sql,3.081608,3.155527,0.202687,10
monetdb,query_88.sql,1.294173,1.318860,0.092239,10
monetdb,query_89.sql,0.357129,0.414743,0.174126,10
monetdb,query_9.sql,0.895926,0.844973,0.123624,10
monetdb,query_90.sql,0.142591,0.142687,0.007514,10
monetdb,query_91.sql,0.057585,0.057575,0.002337,10
monetdb,query_92.sql,0.136431,0.137447,0.006650,10
monetdb,query_93.sql,17.757581,17.703965,0.407963,10
monetdb,query_94.sql,0.253683,0.261695,0.046487,10
monetdb,query_95.sql,677.499704,682.381399,22.007485,10
monetdb,query_96.sql,0.288455,0.289738,0.009938,10
monetdb,query_98.sql,0.399180,0.399935,0.035521,10
monetdb,query_99.sql,0.885601,0.896659,0.050736,10
