engine,query_name,run_idx,execution_time_s
duckdb,query_62.sql,2,0.651886
duckdb,query_63.sql,2,1.030528
duckdb,query_64.sql,2,3.017223
duckdb,query_65.sql,2,1.502208
duckdb,query_66.sql,2,0.874228
duckdb,query_67.sql,2,2.642492
duckdb,query_68.sql,2,1.709508
duckdb,query_69.sql,2,0.912166
duckdb,query_72.sql,2,1.708669
duckdb,query_73.sql,2,0.985735
duckdb,query_74.sql,2,1.321365
duckdb,query_75.sql,2,7.110578
duckdb,query_76.sql,2,1.559667
duckdb,query_77.sql,2,1.285069
duckdb,query_78.sql,2,2.808784
duckdb,query_79.sql,2,1.389795
duckdb,query_80.sql,2,1.975175
duckdb,query_81.sql,2,0.618915
duckdb,query_82.sql,2,0.436262
duckdb,query_84.sql,2,0.478004
duckdb,query_85.sql,2,0.696594
duckdb,query_86.sql,2,0.602029
duckdb,query_87.sql,2,1.044305
duckdb,query_88.sql,2,2.535801
duckdb,query_89.sql,2,1.275387
duckdb,query_90.sql,2,0.657513
duckdb,query_91.sql,2,0.444476
duckdb,query_92.sql,2,0.548872
duckdb,query_93.sql,2,0.817812
duckdb,query_94.sql,2,0.538249
duckdb,query_95.sql,2,1.928894
duckdb,query_96.sql,2,0.849366
duckdb,query_98.sql,2,0.908177
duckdb,query_99.sql,2,0.583096
duckdb,query_1.sql,3,0.822089
duckdb,query_2.sql,3,0.983552
duckdb,query_3.sql,3,1.485232
duckdb,query_4.sql,3,2.126547
duckdb,query_5.sql,3,1.461527
duckdb,query_6.sql,3,0.897920
duckdb,query_7.sql,3,1.529707
duckdb,query_8.sql,3,1.070285
duckdb,query_9.sql,3,0.902685
duckdb,query_10.sql,3,1.051490
duckdb,query_11.sql,3,1.509633
duckdb,query_12.sql,3,0.529289
duckdb,query_13.sql,3,1.624177
duckdb,query_15.sql,3,0.710668
duckdb,query_16.sql,3,0.633087
duckdb,query_17.sql,3,1.470906
duckdb,query_19.sql,3,1.203340
duckdb,query_20.sql,3,0.523059
duckdb,query_21.sql,3,0.525293
duckdb,query_22.sql,3,1.795541
duckdb,query_23.sql,3,1.332190
duckdb,query_24.sql,3,1.330398
duckdb,query_25.sql,3,0.961150
duckdb,query_26.sql,3,0.658964
duckdb,query_28.sql,3,1.026926
duckdb,query_29.sql,3,1.568688
duckdb,query_30.sql,3,0.570551
duckdb,query_31.sql,3,1.088883
duckdb,query_32.sql,3,0.542312
duckdb,query_33.sql,3,1.365670
duckdb,query_34.sql,3,1.211020
duckdb,query_35.sql,3,1.643865
duckdb,query_36.sql,3,1.279432
duckdb,query_37.sql,3,0.761456
duckdb,query_38.sql,3,0.949781
duckdb,query_39.sql,3,0.578345
duckdb,query_40.sql,3,0.740367
duckdb,query_41.sql,3,0.378241
duckdb,query_42.sql,3,1.004572
duckdb,query_43.sql,3,0.880508
duckdb,query_44.sql,3,0.900431
duckdb,query_45.sql,3,0.605270
duckdb,query_46.sql,3,1.573403
duckdb,query_47.sql,3,3.117485
duckdb,query_48.sql,3,1.399303
duckdb,query_49.sql,3,2.236910
duckdb,query_50.sql,3,1.372279
duckdb,query_51.sql,3,1.790076
duckdb,query_52.sql,3,1.187556
duckdb,query_53.sql,3,1.074923
duckdb,query_54.sql,3,1.072578
duckdb,query_55.sql,3,0.979274
duckdb,query_56.sql,3,1.413758
duckdb,query_57.sql,3,1.360821
duckdb,query_59.sql,3,1.625825
duckdb,query_61.sql,3,1.475441
duckdb,query_62.sql,3,0.638165
duckdb,query_63.sql,3,1.007321
duckdb,query_64.sql,3,2.967161
duckdb,query_65.sql,3,1.658429
duckdb,query_66.sql,3,0.944203
duckdb,query_67.sql,3,2.680868
duckdb,query_68.sql,3,1.587553
duckdb,query_69.sql,3,1.014573
duckdb,query_72.sql,3,1.540923
duckdb,query_73.sql,3,1.009771
duckdb,query_74.sql,3,1.333333
duckdb,query_75.sql,3,7.449209
duckdb,query_76.sql,3,1.660717
duckdb,query_77.sql,3,1.259944
duckdb,query_78.sql,3,2.697073
duckdb,query_79.sql,3,1.423089
duckdb,query_80.sql,3,2.149522
duckdb,query_81.sql,3,0.715829
duckdb,query_82.sql,3,0.511748
duckdb,query_84.sql,3,0.648505
