engine,query_name,median_s,mean_s,stddev_s,n_success
cedardb,query_97.sql,0.034648,0.034892,0.001387,10
cedardb,query_98.sql,0.036997,0.036895,0.001628,10
cedardb,query_99.sql,0.037042,0.036920,0.000750,10
duckdb,query_1.sql,0.503144,0.503938,0.027690,10
duckdb,query_10.sql,0.719248,0.720538,0.039126,10
duckdb,query_11.sql,1.607490,1.608368,0.041450,10
duckdb,query_12.sql,0.521993,0.517898,0.024258,10
duckdb,query_13.sql,1.003555,1.001712,0.022722,10
duckdb,query_14.sql,4.596006,4.619507,0.112210,10
duckdb,query_15.sql,0.409760,0.407931,0.011436,10
duckdb,query_16.sql,0.408930,0.423851,0.032215,10
duckdb,query_17.sql,1.108427,1.104125,0.103354,10
duckdb,query_18.sql,0.479993,0.482933,0.033026,10
duckdb,query_19.sql,0.972342,1.002724,0.126779,10
duckdb,query_2.sql,0.582580,0.591551,0.029180,10
duckdb,query_20.sql,0.393231,0.406632,0.031400,10
duckdb,query_21.sql,0.363054,0.360017,0.025301,10
duckdb,query_22.sql,2.320292,2.325728,0.052011,10
duckdb,query_23.sql,3.769946,3.821892,0.117919,10
duckdb,query_24.sql,0.791793,0.777525,0.033787,10
duckdb,query_25.sql,0.913976,0.930014,0.081611,10
duckdb,query_26.sql,0.486694,0.485383,0.027187,10
duckdb,query_27.sql,1.118335,1.110379,0.021234,10
duckdb,query_28.sql,0.965845,0.964825,0.019714,10
duckdb,query_29.sql,1.100855,1.081809,0.064254,10
duckdb,query_3.sql,0.585561,0.578801,0.014325,10
duckdb,query_30.sql,0.517948,0.522253,0.031929,10
duckdb,query_31.sql,0.744274,0.749054,0.021105,10
duckdb,query_32.sql,0.330147,0.334362,0.019323,10
duckdb,query_33.sql,0.976686,0.963367,0.084723,10
duckdb,query_34.sql,0.822811,0.826452,0.044466,10
duckdb,query_35.sql,1.058718,1.063779,0.038502,10
duckdb,query_36.sql,0.882814,0.885289,0.019097,10
duckdb,query_37.sql,0.964875,0.896915,0.123966,10
duckdb,query_38.sql,0.877058,0.887255,0.035702,10
duckdb,query_39.sql,0.512122,0.523489,0.029228,10
duckdb,query_4.sql,2.306766,2.313661,0.025896,10
duckdb,query_40.sql,0.473299,0.485325,0.033924,10
duckdb,query_41.sql,0.248098,0.251783,0.007413,10
duckdb,query_42.sql,0.654109,0.642457,0.036428,10
duckdb,query_43.sql,0.672834,0.667836,0.031269,10
duckdb,query_44.sql,0.728627,0.764318,0.110831,10
duckdb,query_45.sql,0.549256,0.552172,0.034164,10
duckdb,query_46.sql,1.009059,1.005525,0.034425,10
duckdb,query_47.sql,2.060522,2.084287,0.052753,10
duckdb,query_48.sql,0.898637,0.896791,0.027939,10
duckdb,query_49.sql,1.270293,1.262319,0.079311,10
duckdb,query_5.sql,1.275548,1.285689,0.042949,10
duckdb,query_50.sql,0.772491,0.768918,0.037344,10
duckdb,query_51.sql,3.678700,3.732386,0.143595,10
duckdb,query_52.sql,0.678842,0.678101,0.052490,10
duckdb,query_53.sql,0.737353,0.743707,0.044916,10
duckdb,query_54.sql,0.868007,0.870907,0.030639,10
duckdb,query_55.sql,0.614355,0.618233,0.023892,10
duckdb,query_56.sql,1.005397,1.012520,0.057854,10
duckdb,query_57.sql,1.088699,1.099811,0.038321,10
duckdb,query_58.sql,1.095638,1.079369,0.072965,10
