engine,query_name,run_idx,execution_time_s
duckdb,query_49.sql,2,1.240700
duckdb,query_50.sql,2,0.782619
duckdb,query_51.sql,2,3.594464
duckdb,query_52.sql,2,0.628644
duckdb,query_53.sql,2,0.740472
duckdb,query_54.sql,2,0.851887
duckdb,query_55.sql,2,0.614393
duckdb,query_56.sql,2,0.951917
duckdb,query_57.sql,2,1.084942
duckdb,query_58.sql,2,1.044392
duckdb,query_60.sql,2,1.071734
duckdb,query_61.sql,2,0.282442
duckdb,query_62.sql,2,0.495067
duckdb,query_63.sql,2,0.637226
duckdb,query_64.sql,2,2.174297
duckdb,query_65.sql,2,1.511772
duckdb,query_66.sql,2,0.673019
duckdb,query_67.sql,2,6.821343
duckdb,query_68.sql,2,0.986360
duckdb,query_69.sql,2,0.733815
duckdb,query_70.sql,2,0.727948
duckdb,query_71.sql,2,1.002147
duckdb,query_72.sql,2,1.151758
duckdb,query_73.sql,2,0.740873
duckdb,query_74.sql,2,1.324066
duckdb,query_75.sql,2,2.194767
duckdb,query_76.sql,2,1.078455
duckdb,query_77.sql,2,0.794959
duckdb,query_78.sql,2,3.207590
duckdb,query_79.sql,2,0.801451
duckdb,query_80.sql,2,1.581522
duckdb,query_81.sql,2,0.629556
duckdb,query_82.sql,2,0.640452
duckdb,query_83.sql,2,0.435315
duckdb,query_84.sql,2,0.323939
duckdb,query_85.sql,2,0.691557
duckdb,query_86.sql,2,0.542958
duckdb,query_87.sql,2,0.872626
duckdb,query_88.sql,2,1.025549
duckdb,query_89.sql,2,0.745406
duckdb,query_90.sql,2,0.324721
duckdb,query_91.sql,2,0.294315
duckdb,query_92.sql,2,0.527072
duckdb,query_93.sql,2,2.220183
duckdb,query_94.sql,2,0.473086
duckdb,query_95.sql,2,1.525261
duckdb,query_96.sql,2,0.491996
duckdb,query_97.sql,2,1.678220
duckdb,query_98.sql,2,0.950620
duckdb,query_99.sql,2,0.562043
duckdb,query_1.sql,3,0.512778
duckdb,query_2.sql,3,0.595682
duckdb,query_3.sql,3,0.587810
duckdb,query_4.sql,3,2.287005
duckdb,query_5.sql,3,1.244104
duckdb,query_6.sql,3,0.744629
duckdb,query_7.sql,3,1.056967
duckdb,query_8.sql,3,0.889525
duckdb,query_9.sql,3,0.846014
duckdb,query_10.sql,3,0.697385
duckdb,query_11.sql,3,1.523355
duckdb,query_12.sql,3,0.545215
duckdb,query_13.sql,3,1.034210
duckdb,query_14.sql,3,4.764028
duckdb,query_15.sql,3,0.409857
duckdb,query_16.sql,3,0.401132
duckdb,query_17.sql,3,0.955175
duckdb,query_18.sql,3,0.478612
duckdb,query_19.sql,3,0.918110
duckdb,query_20.sql,3,0.393519
duckdb,query_21.sql,3,0.372231
duckdb,query_22.sql,3,2.296679
duckdb,query_23.sql,3,3.767860
duckdb,query_24.sql,3,0.792728
duckdb,query_25.sql,3,0.887848
duckdb,query_26.sql,3,0.450519
duckdb,query_27.sql,3,1.130262
duckdb,query_28.sql,3,0.966331
duckdb,query_29.sql,3,1.100775
duckdb,query_30.sql,3,0.517826
duckdb,query_31.sql,3,0.733379
