suite,query_name,outcome,n_successful_timed_runs,instance_weight,median_ms,min_ms,max_ms,iqr_ms
prodds,query_join_J50,complete,10,1,38510.922,38300.864,39306.872,455.832
prodds,query_union_U10,complete,10,1,6898.626,6755.202,6963.196,81.703
prodds,query_union_U2,complete,10,1,901.687,874.506,927.138,27.273
prodds,query_union_U20,complete,10,1,15091.468,14939.924,15313.317,33.585
prodds,query_union_U200,complete,10,1,168519.896,167962.308,170406.163,1082.773
prodds,query_union_U5,complete,10,1,2404.002,2350.769,2456.774,35.447
prodds_templates,query_1,complete,10,1,26.166,23.522,27.841,1.763
prodds_templates,query_10,complete,10,1,322.390,307.301,344.676,12.189
prodds_templates,query_11,complete,10,1,50.763,49.158,59.689,5.520
prodds_templates,query_12,complete,10,1,80.948,77.008,88.485,4.489
prodds_templates,query_13,complete,10,1,46.414,44.313,49.059,2.043
prodds_templates,query_14,complete,10,1,54.259,50.043,62.278,5.382
prodds_templates,query_15,complete,10,1,51.223,47.023,59.576,1.983
prodds_templates,query_16,complete,10,1,281.340,248.112,347.719,39.445
prodds_templates,query_17,complete,10,1,43.459,38.159,67.788,4.477
prodds_templates,query_18,complete,10,1,102.558,88.165,109.960,4.442
prodds_templates,query_19,complete,10,1,130.915,122.609,139.431,13.725
prodds_templates,query_2,complete,10,1,110.102,101.734,131.006,9.672
prodds_templates,query_20,complete,10,1,245.157,236.575,267.223,11.192
prodds_templates,query_21,complete,10,1,705.427,672.476,811.938,28.004
prodds_templates,query_22,complete,10,1,95.262,78.739,142.859,24.949
prodds_templates,query_23,complete,10,1,203.478,195.441,246.633,7.183
prodds_templates,query_24,complete,10,1,60.710,54.724,63.325,6.144
prodds_templates,query_25,complete,10,1,37.967,34.721,40.439,2.980
prodds_templates,query_26,complete,10,1,179.703,170.194,188.660,10.025
prodds_templates,query_27,complete,10,1,89.653,82.236,110.897,3.124
prodds_templates,query_28,complete,10,1,130.615,116.279,146.525,5.883
prodds_templates,query_29,complete,10,1,118.876,112.924,130.133,6.584
prodds_templates,query_3,complete,10,1,474.088,455.546,501.800,21.840
prodds_templates,query_30,complete,10,1,157.668,153.423,164.581,4.614
prodds_templates,query_31,complete,10,1,34.562,30.201,40.699,5.833
prodds_templates,query_32,complete,10,1,119.556,98.458,133.882,20.509
prodds_templates,query_33,complete,10,1,123.941,102.654,139.713,13.057
prodds_templates,query_34,complete,10,1,106.862,96.738,115.161,10.011
prodds_templates,query_35,complete,10,1,325.156,320.961,326.840,2.821
