suite,query_id,phase,latency_ms,status,n_rows,err
tpch,q01,measured,34.398,ok,4,
tpch,q02,measured,58.410,ok,100,
tpch,q03,measured,58.010,ok,10,
tpch,q04,measured,100.437,ok,5,
tpch,q05,measured,85.725,ok,5,
tpch,q06,measured,13.142,ok,1,
tpch,q07,measured,63.695,ok,4,
tpch,q08,measured,83.049,ok,2,
tpch,q09,measured,207.640,ok,175,
tpch,q10,measured,172.051,ok,20,
tpch,q11,measured,15.657,empty,0,
tpch,q12,measured,42.094,ok,2,
tpch,q13,measured,127.316,ok,46,
tpch,q14,measured,33.982,ok,1,
tpch,q15,measured,21.657,ok,1,
tpch,q16,measured,106.898,ok,27840,
tpch,q17,measured,64.588,ok,1,
tpch,q18,measured,114.751,ok,100,
tpch,q19,measured,56.354,ok,1,
tpch,q20,measured,73.386,ok,1804,
tpch,q21,measured,378.134,ok,100,
tpch,q22,measured,89.296,ok,7,
jcch,1,measured,47.708,ok,4,
jcch,10,warmup,,error,0,"Conversion Error: invalid date field format: """", expected format is (YYYY-MM-DD)"
jcch,11,measured,40.372,ok,8685,
jcch,12,measured,40.573,ok,2,
jcch,13,measured,122.758,ok,46,
jcch,14,measured,37.103,ok,1,
jcch,15,measured,41.567,empty,0,
jcch,16,measured,96.677,ok,27840,
jcch,17,measured,60.747,ok,1,
jcch,18,measured,109.514,ok,100,
jcch,19,measured,58.866,ok,1,
jcch,2,measured,46.952,ok,100,
jcch,20,measured,81.929,ok,1804,
jcch,21,measured,317.774,ok,100,
jcch,22,measured,85.094,ok,7,
jcch,3,measured,72.028,ok,10,
jcch,4,measured,124.135,ok,5,
jcch,5,measured,93.749,ok,5,
jcch,6,measured,14.936,ok,1,
jcch,7,warmup,,error,0,"Conversion Error: invalid date field format: """", expected format is (YYYY-MM-DD)"
jcch,8,warmup,,error,0,"Conversion Error: invalid date field format: """", expected format is (YYYY-MM-DD)"
jcch,9,measured,215.348,ok,175,
tpcds,q01,measured,91.687,ok,100,
tpcds,q02,measured,61.067,ok,2513,
tpcds,q03,measured,26.363,ok,100,
tpcds,q04,measured,1322.138,ok,100,
tpcds,q05,measured,74.606,ok,100,
tpcds,q06,measured,141.054,ok,51,
tpcds,q07,measured,55.179,ok,100,
tpcds,q08,measured,385.673,ok,9,
tpcds,q09,measured,45.237,ok,1,
tpcds,q10,measured,54.713,ok,100,
tpcds,q11,measured,665.354,ok,100,
tpcds,q12,measured,52.944,ok,100,
tpcds,q13,measured,86.654,ok,1,
tpcds,q14,measured,363.777,ok,100,
tpcds,q15,measured,115.986,ok,100,
tpcds,q16,measured,35.709,ok,1,
tpcds,q17,measured,103.778,empty,0,
tpcds,q18,measured,133.888,ok,100,
tpcds,q19,measured,53.839,ok,100,
tpcds,q20,measured,98.693,ok,100,
tpcds,q21,measured,24.315,ok,100,
tpcds,q22,measured,809.923,ok,100,
tpcds,q23,measured,284.815,ok,100,
tpcds,q24,measured,135.815,ok,7,
tpcds,q25,measured,123.795,ok,1,
tpcds,q26,measured,146.343,ok,100,
tpcds,q27,measured,108.589,ok,100,
tpcds,q28,measured,51.246,ok,1,
tpcds,q29,measured,61.380,ok,3,
tpcds,q30,measured,127.535,ok,100,
tpcds,q31,measured,87.006,ok,288,
tpcds,q32,measured,16.271,ok,1,
tpcds,q33,measured,34.862,ok,100,
tpcds,q34,measured,41.048,ok,1546,
tpcds,q35,measured,210.043,ok,100,
tpcds,q36,measured,242.088,ok,100,
tpcds,q37,measured,24.877,ok,2,
tpcds,q38,measured,114.573,ok,1,
tpcds,q39,measured,95.947,ok,2433,
tpcds,q40,measured,42.043,ok,100,
tpcds,q41,measured,33.172,ok,41,
tpcds,q42,measured,19.802,ok,11,
tpcds,q43,measured,28.397,ok,17,
tpcds,q44,measured,48.652,ok,10,
tpcds,q45,measured,90.157,ok,49,
tpcds,q46,measured,96.333,ok,100,
tpcds,q47,measured,253.481,ok,100,
tpcds,q48,measured,83.137,ok,1,
tpcds,q49,measured,46.843,ok,41,
tpcds,q50,measured,47.836,ok,51,
tpcds,q51,measured,964.674,ok,100,
tpcds,q52,measured,23.370,ok,100,
tpcds,q53,measured,56.450,ok,100,
tpcds,q54,measured,78.178,ok,1,
tpcds,q55,measured,22.749,ok,100,
tpcds,q56,measured,50.999,ok,100,
tpcds,q57,measured,183.268,ok,100,
tpcds,q58,measured,58.375,ok,38,
tpcds,q59,measured,123.509,ok,100,
tpcds,q60,measured,59.749,ok,100,
tpcds,q61,measured,67.957,ok,1,
tpcds,q62,measured,23.192,ok,100,
tpcds,q63,measured,44.068,ok,100,
tpcds,q64,measured,173.758,ok,33,
tpcds,q65,measured,75.035,ok,100,
tpcds,q66,measured,25.274,ok,10,
tpcds,q67,measured,830.249,ok,100,
tpcds,q68,measured,97.086,ok,100,
tpcds,q69,measured,166.272,ok,100,
tpcds,q70,measured,70.719,ok,8,
tpcds,q71,measured,99.230,ok,9669,
tpcds,q72,measured,280.327,ok,100,
tpcds,q73,measured,35.331,ok,16,
tpcds,q74,measured,569.262,ok,100,
tpcds,q75,measured,305.348,ok,100,
tpcds,q76,measured,46.336,ok,100,
tpcds,q77,measured,30.717,ok,100,
tpcds,q78,measured,174.445,ok,100,
tpcds,q79,measured,35.990,ok,100,
tpcds,q80,measured,58.678,ok,100,
tpcds,q81,measured,142.211,ok,100,
tpcds,q82,measured,33.501,ok,6,
tpcds,q83,measured,36.304,ok,100,
tpcds,q84,measured,37.398,ok,100,
tpcds,q85,measured,69.522,ok,17,
tpcds,q86,measured,39.524,ok,100,
tpcds,q87,measured,143.930,ok,1,
tpcds,q88,measured,86.457,ok,1,
tpcds,q89,measured,36.384,ok,100,
tpcds,q90,measured,7.383,ok,1,
tpcds,q91,measured,21.963,ok,16,
tpcds,q92,measured,36.877,ok,1,
tpcds,q93,measured,75.002,ok,100,
tpcds,q94,measured,32.504,ok,1,
tpcds,q95,measured,205.532,ok,1,
tpcds,q96,measured,11.801,ok,1,
tpcds,q97,measured,177.745,ok,1,
tpcds,q98,measured,117.939,ok,15080,
tpcds,q99,measured,43.296,ok,100,
prodds,query_1,measured,19.807,ok,1,
prodds,query_10,measured,222.819,ok,484,
prodds,query_11,measured,51.122,ok,173,
prodds,query_12,measured,162.277,ok,18417,
prodds,query_13,measured,64.527,ok,23,
prodds,query_14,measured,79.774,ok,18738,
prodds,query_15,measured,30.486,empty,0,
prodds,query_16,measured,205.706,ok,29532,
prodds,query_17,measured,35.053,ok,1,
prodds,query_18,measured,100.043,ok,987,
prodds,query_19,measured,132.290,ok,38,
prodds,query_2,measured,166.745,ok,39042,
prodds,query_20,measured,133.787,empty,0,
prodds,query_21,measured,711.506,ok,167,
prodds,query_22,measured,73.840,ok,977,
prodds,query_23,measured,449.420,empty,0,
