scale,tier,engine,arm,arm_label,n_queries,baseline_total_s,sum_delta_pct,median_delta_pct,p90_delta_pct,worst_delta_pct,worst_query,best_delta_pct,best_query,n_faster_gt2pct,n_slower_gt2pct
SF10,high,cedardb,sparsity_only,NULL sparsity only,95,238.9,+2.6,-1.9,+9.6,+1548.3,Q51,-91.3,Q59,47,28
SF10,high,cedardb,skew_only,value skew only (MCV),95,238.9,-2.5,-0.8,+6.8,+47.8,Q82,-82.6,Q22,42,24
SF10,high,cedardb,keyskew_only,key skew only,95,238.9,+0.2,-0.7,+29.7,+838.1,Q4,-79.6,Q7,42,35
SF10,high,cedardb,skew_all,value + key skew,95,238.9,-1.3,-1.3,+34.6,+835.8,Q4,-82.9,Q22,44,31
SF10,high,cedardb,combined,NULL + value skew,95,238.9,+1.2,-4.8,+7.3,+1517.2,Q51,-91.5,Q59,59,26
SF10,high,cedardb,full,NULL + value + key (default),95,238.9,+2.2,-7.1,+23.2,+1529.9,Q51,-92.8,Q59,58,23
SF10,high,duckdb,sparsity_only,NULL sparsity only,95,43.2,-3.3,-2.1,+3.0,+11.1,Q49,-46.3,Q43,48,17
SF10,high,duckdb,skew_only,value skew only (MCV),95,43.2,-4.7,-0.7,+4.4,+9.8,Q73,-65.7,Q22,37,23
SF10,high,duckdb,keyskew_only,key skew only,95,43.2,+0.1,-3.3,+3.9,+709.3,Q25,-57.5,Q46,57,15
SF10,high,duckdb,skew_all,value + key skew,95,43.2,-4.6,-5.3,+3.7,+531.3,Q25,-66.2,Q22,64,14
SF10,high,duckdb,combined,NULL + value skew,95,43.2,-6.6,-3.6,+2.3,+15.8,Q64,-66.3,Q22,61,11
SF10,high,duckdb,full,NULL + value + key (default),95,43.2,-5.9,-7.0,+5.1,+540.2,Q25,-65.4,Q22,69,14
SF10,high,monetdb,sparsity_only,NULL sparsity only,95,361.2,+4.3,-0.8,+9.6,+135.3,Q51,-68.7,Q59,42,30
SF10,high,monetdb,skew_only,value skew only (MCV),95,361.2,-3.7,-2.1,+5.2,+46.1,Q76,-76.2,Q57,48,23
SF10,high,monetdb,keyskew_only,key skew only,95,361.2,+3.0,-1.0,+10.1,+84.3,Q15,-80.7,Q81,45,30
SF10,high,monetdb,skew_all,value + key skew,95,361.2,-5.9,-4.2,+11.3,+79.3,Q15,-81.3,Q81,53,24
SF10,high,monetdb,combined,NULL + value skew,95,361.2,-3.4,-3.0,+5.9,+116.2,Q51,-72.7,Q57,52,24
SF10,high,monetdb,full,NULL + value + key (default),95,361.2,-1.0,-8.4,+8.0,+132.4,Q51,-80.5,Q7,65,18
SF10,low,cedardb,sparsity_only,NULL sparsity only,95,235.5,+0.8,+1.0,+9.3,+45.0,Q24,-25.0,Q82,24,34
SF10,low,cedardb,skew_only,value skew only (MCV),95,235.5,+0.1,+0.7,+8.7,+25.0,Q45,-48.3,Q57,27,36
SF10,low,cedardb,keyskew_only,key skew only,95,235.5,+1.6,-0.1,+16.7,+553.7,Q4,-43.1,Q35,31,32
SF10,low,cedardb,skew_all,value + key skew,95,235.5,+0.7,-0.2,+26.8,+553.7,Q4,-47.6,Q57,39,34
