variant,tier,engine,query_id,median_ms,n_success
baseline,low,cedardb,query_1,48.5,10
baseline,low,cedardb,query_2,611.0,10
baseline,low,cedardb,query_3,673.0,10
baseline,low,cedardb,query_4,103.0,10
baseline,low,cedardb,query_5,123.0,10
baseline,low,cedardb,query_6,139.5,10
baseline,low,cedardb,query_7,56.0,10
baseline,low,cedardb,query_8,127.5,10
baseline,low,cedardb,query_9,149.0,10
baseline,low,cedardb,query_10,333.5,10
baseline,low,cedardb,query_11,76.0,10
baseline,low,cedardb,query_12,109.5,10
baseline,low,cedardb,query_13,49.5,10
baseline,low,cedardb,query_14,127.0,10
baseline,low,cedardb,query_15,58.5,10
baseline,low,cedardb,query_17,72.5,10
baseline,low,cedardb,query_18,70.0,10
baseline,low,cedardb,query_20,150.5,10
baseline,low,cedardb,query_21,105.0,10
baseline,low,cedardb,query_22,105.5,10
baseline,low,cedardb,query_23,119.0,10
baseline,low,cedardb,query_24,104.0,10
baseline,low,cedardb,query_25,62.5,10
baseline,low,cedardb,query_26,90.0,10
baseline,low,cedardb,query_27,97.5,10
baseline,low,cedardb,query_28,106.5,10
baseline,low,cedardb,query_30,1295.0,10
baseline,low,cedardb,query_31,83.0,10
baseline,low,cedardb,query_32,270.5,10
baseline,low,cedardb,query_33,83.5,10
baseline,low,cedardb,query_35,509.5,10
baseline,low,cedardb,query_36,199.5,10
baseline,low,cedardb,query_37,150.0,10
baseline,low,cedardb,query_39,87.5,10
baseline,low,cedardb,query_40,57.0,10
baseline,low,cedardb,query_41,173.5,10
baseline,low,cedardb,query_42,458.0,10
baseline,low,cedardb,query_43,78.0,10
baseline,low,cedardb,query_44,79.5,10
baseline,low,cedardb,query_45,194.0,10
baseline,low,cedardb,query_46,727.5,10
baseline,low,cedardb,query_47,390.0,10
baseline,low,cedardb,query_48,480.5,10
baseline,low,cedardb,query_49,106.0,10
baseline,low,cedardb,query_50,102.0,10
baseline,low,cedardb,query_51,196.0,10
baseline,low,cedardb,query_52,135.0,10
baseline,low,cedardb,query_53,130.0,10
baseline,low,cedardb,query_54,2104.0,10
baseline,low,cedardb,query_55,1706.5,10
baseline,low,cedardb,query_56,135.5,10
baseline,low,cedardb,query_57,62.0,10
baseline,low,cedardb,query_58,82.0,10
baseline,low,cedardb,query_59,160.0,10
baseline,low,cedardb,query_60,108.0,10
baseline,low,cedardb,query_61,79.0,10
baseline,low,cedardb,query_62,88.5,10
baseline,low,cedardb,query_63,104.0,10
