engine,query,sql_joins,plan_joins,plan_over_sql,plan_join_operators,error
cedardb,query_96,8,,,,"ERROR:  aggregate functions are not allowed here
DETAIL:  at:        ,max(cast((select max(d_date) *error*  from date_dim where d_week_seq in (select d_week_seq from date_dim where d_date in ('2000-01"
cedardb,query_97,12,12,1.000,hashjoin=11 singletonjoin=1,
cedardb,query_98,7,7,1.000,hashjoin=7,
cedardb,query_99,6,6,1.000,hashjoin=6,
cedardb,query_join_J100,98,91,0.929,hashjoin=91,
cedardb,query_join_J200,197,185,0.939,hashjoin=185,
cedardb,query_join_J50,54,50,0.926,hashjoin=50,
cedardb,query_union_U10,2,2,1.000,hashjoin=2,
cedardb,query_union_U2,2,2,1.000,hashjoin=2,
cedardb,query_union_U20,2,2,1.000,hashjoin=2,
cedardb,query_union_U200,2,2,1.000,hashjoin=2,
cedardb,query_union_U5,2,2,1.000,hashjoin=2,
