suite,engine,query_name,median_s,n_success
prodds,cedardb,query_26.sql,0.165000,10
prodds,cedardb,query_27.sql,0.242500,10
prodds,cedardb,query_28.sql,0.157000,10
prodds,cedardb,query_30.sql,0.273000,10
prodds,cedardb,query_31.sql,0.164500,10
prodds,cedardb,query_32.sql,0.484000,10
prodds,cedardb,query_33.sql,0.141000,10
prodds,cedardb,query_35.sql,1.433000,10
prodds,cedardb,query_36.sql,0.368500,10
prodds,cedardb,query_37.sql,0.486500,10
prodds,cedardb,query_39.sql,0.087000,10
prodds,cedardb,query_40.sql,0.060500,10
prodds,cedardb,query_41.sql,4.983000,10
prodds,cedardb,query_42.sql,1.291000,10
prodds,cedardb,query_43.sql,0.049000,10
prodds,cedardb,query_44.sql,0.117000,10
prodds,cedardb,query_45.sql,0.475500,10
prodds,cedardb,query_46.sql,71.699000,10
prodds,cedardb,query_47.sql,0.817000,10
prodds,cedardb,query_48.sql,1.118000,10
prodds,cedardb,query_49.sql,0.268500,10
prodds,cedardb,query_50.sql,0.569000,10
prodds,cedardb,query_51.sql,10.615500,10
prodds,cedardb,query_52.sql,0.112000,10
prodds,cedardb,query_53.sql,10.025000,10
prodds,cedardb,query_54.sql,3.300500,10
prodds,cedardb,query_55.sql,0.645000,10
prodds,cedardb,query_56.sql,0.327500,10
prodds,cedardb,query_57.sql,0.092000,10
prodds,cedardb,query_58.sql,0.222500,10
prodds,cedardb,query_59.sql,0.377000,10
prodds,cedardb,query_60.sql,0.119500,10
prodds,cedardb,query_61.sql,0.290000,10
prodds,cedardb,query_62.sql,0.062500,10
prodds,cedardb,query_63.sql,0.142000,10
prodds,cedardb,query_64.sql,0.096000,10
prodds,cedardb,query_65.sql,0.123000,10
prodds,cedardb,query_66.sql,0.179500,10
prodds,cedardb,query_67.sql,0.110500,10
prodds,cedardb,query_68.sql,0.643000,10
prodds,cedardb,query_69.sql,4.570000,10
prodds,cedardb,query_70.sql,0.360500,10
prodds,cedardb,query_71.sql,1.221000,10
prodds,cedardb,query_73.sql,0.080000,10
prodds,cedardb,query_74.sql,0.123000,10
prodds,cedardb,query_75.sql,0.274500,10
prodds,cedardb,query_76.sql,1.456000,10
prodds,cedardb,query_77.sql,4.580000,10
prodds,cedardb,query_79.sql,0.074000,10
prodds,cedardb,query_80.sql,0.087000,10
prodds,cedardb,query_81.sql,0.258500,10
prodds,cedardb,query_82.sql,0.204500,10
prodds,cedardb,query_83.sql,0.393500,10
prodds,cedardb,query_84.sql,0.221000,10
prodds,cedardb,query_85.sql,0.250000,10
prodds,cedardb,query_86.sql,0.191500,10
prodds,cedardb,query_87.sql,0.421500,10
prodds,cedardb,query_88.sql,0.289500,10
prodds,cedardb,query_89.sql,0.381500,10
prodds,cedardb,query_91.sql,0.129500,10
prodds,cedardb,query_92.sql,0.092000,10
prodds,cedardb,query_93.sql,7.626500,10
prodds,cedardb,query_94.sql,0.379500,10
prodds,cedardb,query_95.sql,0.141500,10
prodds,cedardb,query_97.sql,0.349000,10
prodds,cedardb,query_98.sql,0.565000,10
prodds,cedardb,query_99.sql,0.123000,10
prodds,cedardb,query_join_J50.sql,895.498500,10
prodds,cedardb,query_join_J100.sql,1034.152500,10
prodds,cedardb,query_join_J200.sql,1287.219000,10
prodds,cedardb,query_union_U2.sql,9.425000,10
prodds,cedardb,query_union_U5.sql,23.580000,10
prodds,cedardb,query_union_U10.sql,66.404500,10
prodds,cedardb,query_union_U20.sql,154.123500,10
prodds,monetdb,query_1.sql,0.089500,10
prodds,monetdb,query_2.sql,0.554500,10
prodds,monetdb,query_3.sql,64.199500,10
prodds,monetdb,query_4.sql,0.160500,10
prodds,monetdb,query_5.sql,20.385000,10
prodds,monetdb,query_6.sql,68.476500,10
prodds,monetdb,query_7.sql,0.295500,10
prodds,monetdb,query_8.sql,0.420000,10
prodds,monetdb,query_9.sql,11.284000,10
prodds,monetdb,query_10.sql,107.734500,10
prodds,monetdb,query_11.sql,0.015000,10
prodds,monetdb,query_12.sql,0.633500,10
prodds,monetdb,query_13.sql,0.076000,10
prodds,monetdb,query_14.sql,0.517500,10
prodds,monetdb,query_15.sql,0.199000,10
prodds,monetdb,query_17.sql,0.229500,10
prodds,monetdb,query_18.sql,0.151000,10
prodds,monetdb,query_20.sql,10.648000,10
prodds,monetdb,query_21.sql,0.016500,10
prodds,monetdb,query_22.sql,0.306500,10
prodds,monetdb,query_23.sql,3.112500,10
prodds,monetdb,query_24.sql,1.031500,10
prodds,monetdb,query_25.sql,0.759500,10
prodds,monetdb,query_26.sql,5.167000,10
prodds,monetdb,query_27.sql,0.376500,10
prodds,monetdb,query_28.sql,0.324000,10
prodds,monetdb,query_30.sql,3.829000,10
prodds,monetdb,query_31.sql,0.048000,10
prodds,monetdb,query_32.sql,0.311500,10
prodds,monetdb,query_33.sql,0.328500,10
prodds,monetdb,query_35.sql,111.653000,10
prodds,monetdb,query_36.sql,0.506000,10
prodds,monetdb,query_37.sql,0.446000,10
prodds,monetdb,query_39.sql,1.186500,10
prodds,monetdb,query_40.sql,0.067000,10
prodds,monetdb,query_41.sql,38.144000,10
prodds,monetdb,query_42.sql,2.583500,10
