variant,tier,engine,delta_pct,se_pct,n_common
sparsity_only,low,duckdb,-0.1,0.4,95
sparsity_only,low,cedardb,+1.0,0.3,95
sparsity_only,low,monetdb,+1.8,0.5,95
skew_only,low,duckdb,-0.5,0.3,95
skew_only,low,cedardb,+0.7,0.4,95
skew_only,low,monetdb,-2.4,0.6,95
keyskew_only,low,duckdb,-1.1,0.6,95
keyskew_only,low,cedardb,-0.1,0.5,95
keyskew_only,low,monetdb,-1.0,1.0,95
skew_all,low,duckdb,-2.0,0.5,95
skew_all,low,cedardb,-0.2,0.8,95
skew_all,low,monetdb,-1.5,0.7,95
combined,low,duckdb,-0.8,0.4,95
combined,low,cedardb,+0.0,0.5,95
combined,low,monetdb,+0.1,0.5,95
full,low,duckdb,-2.1,0.9,95
full,low,cedardb,+0.0,0.7,95
full,low,monetdb,-1.9,0.8,95
sparsity_only,medium,duckdb,-3.3,0.5,95
sparsity_only,medium,cedardb,-1.4,0.8,95
sparsity_only,medium,monetdb,-0.5,0.7,95
skew_only,medium,duckdb,-1.1,0.5,95
skew_only,medium,cedardb,-0.8,0.7,95
skew_only,medium,monetdb,+0.0,0.6,95
keyskew_only,medium,duckdb,-1.1,0.7,95
keyskew_only,medium,cedardb,-0.8,1.0,95
keyskew_only,medium,monetdb,-1.2,0.8,95
skew_all,medium,duckdb,-1.6,0.6,95
skew_all,medium,cedardb,-2.8,1.4,95
skew_all,medium,monetdb,-3.4,2.0,95
combined,medium,duckdb,-3.3,0.6,95
combined,medium,cedardb,-3.9,1.4,95
combined,medium,monetdb,-5.0,1.2,95
full,medium,duckdb,-4.4,1.1,95
full,medium,cedardb,-4.7,1.9,95
full,medium,monetdb,-8.1,2.9,95
sparsity_only,high,duckdb,-2.1,0.7,95
sparsity_only,high,cedardb,-1.9,1.6,95
sparsity_only,high,monetdb,-0.8,1.0,95
skew_only,high,duckdb,-0.7,0.6,95
skew_only,high,cedardb,-0.8,0.9,95
skew_only,high,monetdb,-2.1,0.9,95
keyskew_only,high,duckdb,-3.3,0.7,95
keyskew_only,high,cedardb,-0.7,0.9,95
keyskew_only,high,monetdb,-1.0,1.8,95
skew_all,high,duckdb,-5.3,0.8,95
skew_all,high,cedardb,-1.3,1.1,95
skew_all,high,monetdb,-4.2,2.7,95
combined,high,duckdb,-3.6,0.7,95
combined,high,cedardb,-4.8,1.5,95
combined,high,monetdb,-3.0,1.5,95
full,high,duckdb,-7.0,1.1,95
full,high,cedardb,-7.1,3.3,95
full,high,monetdb,-8.4,3.2,95
