str_level,query_id,median_ms,runs_success
str10,query_98,330.0,10
str10,query_99,425.0,10
str10,query_join_J100,1860.5,10
str10,query_join_J200,3244.5,10
str10,query_union_U200,12178.5,10
str2,query_1,191.5,10
str2,query_2,375.0,10
str2,query_union_U2,248.0,10
str2,query_3,881.5,10
str2,query_4,184.0,10
str2,query_5,294.0,10
str2,query_union_U5,314.5,10
str2,query_6,365.0,10
str2,query_7,259.5,10
str2,query_8,343.0,10
str2,query_9,270.0,10
str2,query_10,594.0,10
str2,query_union_U10,531.0,10
str2,query_11,298.5,10
str2,query_12,279.0,10
str2,query_13,208.5,10
str2,query_14,231.0,10
str2,query_15,195.5,10
str2,query_16,438.0,10
str2,query_17,283.5,10
str2,query_18,352.0,10
str2,query_19,318.5,10
str2,query_20,440.0,10
str2,query_union_U20,1079.0,10
str2,query_21,1010.0,10
str2,query_22,325.0,10
str2,query_23,722.5,10
str2,query_24,277.5,10
str2,query_25,224.0,10
str2,query_26,362.5,10
str2,query_27,246.0,10
str2,query_28,341.0,10
str2,query_29,405.0,10
str2,query_30,328.5,10
str2,query_31,226.5,10
str2,query_32,308.0,10
str2,query_33,305.5,10
str2,query_34,366.5,10
str2,query_35,1207.5,10
str2,query_36,377.0,10
str2,query_37,328.0,10
str2,query_38,346.5,10
str2,query_39,428.0,10
str2,query_40,193.0,10
str2,query_41,391.0,10
str2,query_42,575.5,10
str2,query_43,482.0,10
str2,query_44,221.5,10
str2,query_45,332.0,10
str2,query_46,1211.5,10
str2,query_47,598.5,10
str2,query_48,434.5,10
str2,query_49,260.0,10
str2,query_50,338.5,10
str2,query_join_J50,1081.0,10
str2,query_51,606.5,10
str2,query_52,235.0,10
str2,query_53,387.5,10
str2,query_54,353.5,10
str2,query_55,1416.0,10
str2,query_56,298.5,10
str2,query_57,272.0,10
str2,query_58,252.0,10
str2,query_59,379.5,10
str2,query_60,280.5,10
str2,query_61,358.0,10
str2,query_62,221.5,10
str2,query_63,504.0,10
str2,query_64,192.5,10
str2,query_65,185.5,10
str2,query_66,327.5,10
str2,query_67,277.5,10
str2,query_68,475.0,10
str2,query_69,626.5,10
str2,query_70,435.5,10
str2,query_71,433.0,10
str2,query_72,410.0,10
str2,query_73,328.0,10
str2,query_74,348.0,10
str2,query_75,289.5,10
str2,query_76,409.5,10
str2,query_77,379.0,10
str2,query_78,256.0,10
str2,query_79,275.5,10
str2,query_80,209.0,10
str2,query_81,297.5,10
str2,query_82,246.0,10
str2,query_83,335.0,10
str2,query_84,356.5,10
str2,query_85,282.5,10
str2,query_86,224.0,10
str2,query_87,364.5,10
str2,query_88,196.0,10
str2,query_89,187.0,10
str2,query_90,227.5,10
str2,query_91,367.5,10
str2,query_92,215.5,10
str2,query_93,679.0,10
str2,query_94,379.0,10
str2,query_95,296.5,10
str2,query_96,262.0,10
str2,query_97,362.0,10
str2,query_98,286.5,10
str2,query_99,367.0,10
str2,query_join_J100,1603.5,10
str2,query_join_J200,2810.0,10
str2,query_union_U200,10612.5,10
str3,query_1,202.5,10
str3,query_2,403.0,10
str3,query_union_U2,269.5,10
str3,query_3,901.5,10
str3,query_4,207.0,10
str3,query_5,333.0,10
str3,query_union_U5,348.0,10
str3,query_6,391.0,10
str3,query_7,215.0,10
str3,query_8,359.5,10
str3,query_9,314.5,10
str3,query_10,610.0,10
str3,query_union_U10,651.0,10
str3,query_11,320.5,10
str3,query_12,282.0,10
str3,query_13,214.5,10
str3,query_14,270.0,10
str3,query_15,185.5,10
str3,query_16,422.0,10
str3,query_17,274.5,10
str3,query_18,339.0,10
str3,query_19,362.5,10
str3,query_20,493.0,10
str3,query_union_U20,1310.0,10
str3,query_21,991.0,10
str3,query_22,360.0,10
str3,query_23,703.0,10
str3,query_24,292.5,10
str3,query_25,223.0,10
str3,query_26,376.5,10
str3,query_27,292.5,10
str3,query_28,366.0,10
str3,query_29,484.5,10
str3,query_30,335.0,10
str3,query_31,241.0,10
str3,query_32,303.0,10
str3,query_33,325.0,10
str3,query_34,359.0,10
str3,query_35,1239.0,10
str3,query_36,353.0,10
str3,query_37,334.5,10
str3,query_38,434.0,10
str3,query_39,450.5,10
str3,query_40,197.0,10
str3,query_41,462.0,10
str3,query_42,586.0,10
str3,query_43,473.5,10
str3,query_44,254.0,10
str3,query_45,370.5,10
str3,query_46,1326.0,10
str3,query_47,623.0,10
str3,query_48,473.5,10
str3,query_49,253.5,10
str3,query_50,339.5,10
str3,query_join_J50,1086.0,10
str3,query_51,576.5,10
str3,query_52,244.5,10
str3,query_53,418.0,10
str3,query_54,373.0,10
str3,query_55,1465.0,10
str3,query_56,317.0,10
str3,query_57,261.5,10
str3,query_58,263.0,10
str3,query_59,396.0,10
str3,query_60,314.0,10
str3,query_61,368.0,10
str3,query_62,219.5,10
str3,query_63,500.5,10
str3,query_64,196.0,10
str3,query_65,187.0,10
str3,query_66,328.0,10
str3,query_67,316.0,10
str3,query_68,503.0,10
str3,query_69,673.5,10
str3,query_70,452.0,10
str3,query_71,502.5,10
