suite,kind,data_logical_gib,data_on_disk_gib,n_queries,n_ok,n_error,n_timeout,median_s,p90_s,p99_s,max_s,min_s,spread_x
prodds,read,11.43,4.75,107,107,0,0,0.1034,0.5291,90.8584,170.5043,0.0209,8158
prodds_templates,read (subset),11.43,4.75,99,99,0,0,0.0980,0.3234,1.1566,21.1297,0.0209,1011
tpcds,read,11.36,5.97,99,99,0,0,0.0752,0.2821,0.7925,0.9195,0.0159,58
dsb,read,11.79,6.12,104,104,0,0,0.0492,0.1148,0.2229,0.2527,0.0109,23
job,read,3.61,2.01,113,109,4,0,0.0616,0.1361,0.2086,0.4741,0.0111,43
redbench,write,3.61,2.01,1000,1000,0,0,0.0021,0.0051,0.0780,0.1381,0.0012,115
