suite,query_id,latency_ms,status,n_rows,error
tpcds,query_65,207.390,ok,100,
tpcds,query_66,301.350,ok,1,
tpcds,query_67,83.593,ok,19,
tpcds,query_68,313.926,ok,1,
tpcds,query_69,351.450,ok,100,
tpcds,query_7,38.531,ok,1,
tpcds,query_70,227.037,ok,100,
tpcds,query_71,95.147,ok,100,
tpcds,query_72,78.808,ok,10757,
tpcds,query_73,37.903,ok,4497,
tpcds,query_74,104.370,ok,1,
tpcds,query_75,81.286,ok,6,
tpcds,query_76,175.825,ok,100,
tpcds,query_77,148.545,ok,1,
tpcds,query_78,39.265,ok,100,
tpcds,query_79,42.393,ok,54,
tpcds,query_8,59.867,ok,100,
tpcds,query_80,28.860,ok,100,
tpcds,query_81,63.967,ok,39,
tpcds,query_82,27.650,ok,100,
tpcds,query_83,55.576,ok,100,
tpcds,query_84,67.385,ok,2513,
tpcds,query_85,60.452,ok,100,
tpcds,query_86,39.395,ok,100,
tpcds,query_87,251.923,ok,100,
tpcds,query_88,47.252,ok,100,
tpcds,query_89,80.809,ok,100,
tpcds,query_9,39.961,ok,2,
tpcds,query_90,180.785,ok,100,
tpcds,query_91,82.525,ok,1,
tpcds,query_92,72.817,ok,2,
tpcds,query_93,316.030,ok,100,
tpcds,query_94,71.567,ok,100,
tpcds,query_95,65.109,ok,31,
tpcds,query_96,26.911,ok,100,
tpcds,query_97,76.827,ok,1,
tpcds,query_98,75.161,ok,100,
tpcds,query_99,35.856,ok,100,
dsb,agg_queries__s0_q00,28.788,ok,8,
dsb,agg_queries__s0_q01,78.672,ok,0,
dsb,agg_queries__s0_q02,83.257,ok,0,
dsb,agg_queries__s0_q03,40.073,ok,4,
dsb,agg_queries__s0_q04,13.726,ok,0,
dsb,agg_queries__s0_q05,64.246,ok,1,
dsb,agg_queries__s0_q06,83.403,ok,16,
dsb,agg_queries__s0_q07,252.710,ok,30,
dsb,agg_queries__s0_q08,28.837,ok,1,
dsb,agg_queries__s0_q09,43.587,ok,9,
dsb,agg_queries__s0_q10,33.804,ok,100,
dsb,agg_queries__s0_q11,79.651,ok,2,
dsb,agg_queries__s0_q12,48.976,ok,93,
dsb,agg_queries__s0_q13,77.717,ok,100,
dsb,agg_queries__s0_q14,16.951,ok,10,
dsb,agg_queries__s1_q00,30.110,ok,100,
dsb,agg_queries__s1_q01,12.093,ok,12,
dsb,agg_queries__s1_q02,42.949,ok,0,
dsb,agg_queries__s1_q03,76.926,ok,0,
dsb,agg_queries__s1_q04,61.922,ok,1,
dsb,agg_queries__s1_q05,29.502,ok,0,
dsb,agg_queries__s1_q06,73.085,ok,17,
dsb,agg_queries__s1_q07,82.670,ok,22,
dsb,agg_queries__s1_q08,25.157,ok,2,
dsb,agg_queries__s1_q09,111.890,ok,0,
dsb,agg_queries__s1_q10,13.343,ok,1,
dsb,agg_queries__s1_q11,49.454,ok,1,
dsb,agg_queries__s1_q12,55.337,ok,7,
dsb,agg_queries__s1_q13,223.831,ok,30,
dsb,agg_queries__s1_q14,75.099,ok,1,
dsb,multi_block_queries__s0_q00,28.825,ok,1,
dsb,multi_block_queries__s0_q01,164.144,ok,100,
dsb,multi_block_queries__s0_q02,18.948,ok,0,
dsb,multi_block_queries__s0_q03,33.254,ok,0,
dsb,multi_block_queries__s0_q04,48.187,ok,0,
dsb,multi_block_queries__s0_q05,121.759,ok,0,
dsb,multi_block_queries__s0_q06,181.177,ok,1,
dsb,multi_block_queries__s0_q07,55.267,ok,0,
dsb,multi_block_queries__s0_q08,34.200,ok,1,
dsb,multi_block_queries__s0_q09,24.412,ok,0,
dsb,multi_block_queries__s0_q10,45.196,ok,1,
dsb,multi_block_queries__s0_q11,61.358,ok,0,
dsb,multi_block_queries__s0_q12,19.721,ok,0,
dsb,multi_block_queries__s0_q13,49.892,ok,1,
dsb,multi_block_queries__s0_q14,84.273,ok,0,
dsb,multi_block_queries__s0_q15,115.985,ok,100,
dsb,multi_block_queries__s0_q16,30.572,ok,1,
dsb,multi_block_queries__s0_q17,29.708,ok,0,
dsb,multi_block_queries__s0_q18,78.124,ok,21,
dsb,multi_block_queries__s0_q19,79.445,ok,100,
dsb,multi_block_queries__s0_q20,66.869,ok,7,
dsb,multi_block_queries__s0_q21,83.236,ok,59,
dsb,multi_block_queries__s1_q00,191.246,ok,1,
dsb,multi_block_queries__s1_q01,25.198,ok,0,
dsb,multi_block_queries__s1_q02,22.690,ok,1,
dsb,multi_block_queries__s1_q03,38.717,ok,1,
dsb,multi_block_queries__s1_q04,18.031,ok,0,
dsb,multi_block_queries__s1_q05,22.206,ok,0,
dsb,multi_block_queries__s1_q06,30.296,ok,0,
dsb,multi_block_queries__s1_q07,29.940,ok,1,
dsb,multi_block_queries__s1_q08,48.689,ok,0,
dsb,multi_block_queries__s1_q09,37.296,ok,0,
dsb,multi_block_queries__s1_q10,82.962,ok,100,
dsb,multi_block_queries__s1_q11,64.304,ok,0,
dsb,multi_block_queries__s1_q12,57.188,ok,13,
dsb,multi_block_queries__s1_q13,46.051,ok,0,
dsb,multi_block_queries__s1_q14,131.640,ok,100,
dsb,multi_block_queries__s1_q15,105.816,ok,90,
dsb,multi_block_queries__s1_q16,62.577,ok,20,
dsb,multi_block_queries__s1_q17,126.774,ok,0,
dsb,multi_block_queries__s1_q18,32.470,ok,0,
dsb,multi_block_queries__s1_q19,81.806,ok,80,
dsb,multi_block_queries__s1_q20,35.957,ok,1,
dsb,multi_block_queries__s1_q21,65.343,ok,1,
dsb,spj_queries__s0_q00,31.027,ok,1,
dsb,spj_queries__s0_q01,82.522,ok,1,
dsb,spj_queries__s0_q02,72.742,ok,1,
dsb,spj_queries__s0_q03,30.710,ok,1,
dsb,spj_queries__s0_q04,12.830,ok,1,
dsb,spj_queries__s0_q05,63.995,ok,1,
dsb,spj_queries__s0_q06,83.235,ok,1,
dsb,spj_queries__s0_q07,135.892,ok,1,
dsb,spj_queries__s0_q08,11.040,ok,1,
dsb,spj_queries__s0_q09,22.330,ok,1,
dsb,spj_queries__s0_q10,24.698,ok,1,
dsb,spj_queries__s0_q11,57.320,ok,1,
dsb,spj_queries__s0_q12,55.498,ok,1,
dsb,spj_queries__s0_q13,60.856,ok,1,
dsb,spj_queries__s0_q14,11.507,ok,1,
dsb,spj_queries__s1_q00,23.364,ok,1,
dsb,spj_queries__s1_q01,10.907,ok,1,
dsb,spj_queries__s1_q02,55.576,ok,1,
dsb,spj_queries__s1_q03,93.763,ok,1,
dsb,spj_queries__s1_q04,75.532,ok,1,
dsb,spj_queries__s1_q05,26.172,ok,1,
dsb,spj_queries__s1_q06,41.349,ok,1,
dsb,spj_queries__s1_q07,71.001,ok,1,
dsb,spj_queries__s1_q08,12.562,ok,1,
dsb,spj_queries__s1_q09,118.465,ok,1,
dsb,spj_queries__s1_q10,30.891,ok,1,
dsb,spj_queries__s1_q11,45.327,ok,1,
dsb,spj_queries__s1_q12,46.257,ok,1,
dsb,spj_queries__s1_q13,40.450,ok,1,
dsb,spj_queries__s1_q14,54.195,ok,1,
job,10a,51.218,ok,1,
job,10b,25.713,ok,1,
job,10c,60.050,ok,1,
job,11a,20.040,ok,1,
job,11b,29.522,ok,1,
job,11c,47.417,ok,1,
job,11d,24.509,ok,1,
job,12a,50.817,ok,1,
job,12b,54.326,ok,1,
job,12c,62.525,ok,1,
job,13a,50.181,ok,1,
job,13b,56.672,ok,1,
job,13c,42.981,ok,1,
job,13d,64.606,ok,1,
job,14a,88.610,ok,1,
job,14b,53.107,ok,1,
job,14c,127.397,ok,1,
job,15a,0.286,error,0,"Parser Error: syntax error at or near ""at""  LINE 3: FROM aka_title AS at,                           ^"
job,15b,0.136,error,0,"Parser Error: syntax error at or near ""at""  LINE 3: FROM aka_title AS at,                           ^"
job,15c,0.119,error,0,"Parser Error: syntax error at or near ""at""  LINE 3: FROM aka_title AS at,                           ^"
job,15d,0.110,error,0,"Parser Error: syntax error at or near "".""  LINE 1: SELECT MIN(at.title) AS aka_title,                      ^"
job,16a,30.313,ok,1,
job,16b,136.414,ok,1,
job,16c,83.223,ok,1,
job,16d,65.671,ok,1,
job,17a,80.456,ok,1,
job,17b,109.673,ok,1,
job,17c,109.617,ok,1,
job,17d,85.417,ok,1,
job,17e,92.428,ok,1,
job,17f,105.020,ok,1,
job,18a,127.685,ok,1,
job,18b,70.043,ok,1,
job,18c,139.592,ok,1,
job,19a,102.720,ok,1,
job,19b,119.718,ok,1,
job,19c,85.643,ok,1,
job,19d,71.514,ok,1,
job,1a,26.595,ok,1,
job,1b,14.407,ok,1,
job,1c,18.611,ok,1,
job,1d,18.418,ok,1,
job,20a,185.321,ok,1,
job,20b,113.681,ok,1,
job,20c,116.853,ok,1,
job,21a,38.509,ok,1,
job,21b,33.789,ok,1,
job,21c,37.847,ok,1,
job,22a,115.106,ok,1,
job,22b,106.787,ok,1,
job,22c,139.455,ok,1,
job,22d,137.428,ok,1,
job,23a,54.738,ok,1,
job,23b,61.613,ok,1,
job,23c,58.686,ok,1,
job,24a,73.356,ok,1,
job,24b,38.810,ok,1,
job,25a,135.786,ok,1,
job,25b,49.514,ok,1,
job,25c,210.588,ok,1,
job,26a,125.042,ok,1,
job,26b,77.290,ok,1,
job,26c,136.050,ok,1,
job,27a,31.245,ok,1,
job,27b,29.968,ok,1,
job,27c,41.042,ok,1,
job,28a,145.008,ok,1,
job,28b,98.626,ok,1,
job,28c,127.009,ok,1,
job,29a,51.729,ok,1,
job,29b,49.660,ok,1,
job,29c,77.825,ok,1,
job,2a,36.184,ok,1,
job,2b,29.373,ok,1,
job,2c,14.281,ok,1,
job,2d,40.361,ok,1,
job,30a,113.567,ok,1,
job,30b,52.942,ok,1,
job,30c,159.577,ok,1,
job,31a,137.128,ok,1,
job,31b,62.883,ok,1,
job,31c,172.868,ok,1,
job,32a,11.081,ok,1,
job,32b,23.557,ok,1,
job,33a,22.602,ok,1,
job,33b,33.251,ok,1,
job,33c,25.844,ok,1,
job,3a,43.608,ok,1,
job,3b,31.326,ok,1,
job,3c,79.467,ok,1,
job,4a,71.321,ok,1,
job,4b,31.374,ok,1,
job,4c,111.793,ok,1,
job,5a,42.084,ok,1,
job,5b,32.432,ok,1,
job,5c,77.758,ok,1,
job,6a,48.405,ok,1,
job,6b,24.083,ok,1,
job,6c,26.114,ok,1,
job,6d,53.532,ok,1,
job,6e,51.222,ok,1,
job,6f,126.717,ok,1,
job,7a,50.408,ok,1,
job,7b,33.882,ok,1,
job,7c,474.105,ok,1,
job,8a,51.320,ok,1,
job,8b,80.022,ok,1,
job,8c,81.094,ok,1,
job,8d,58.178,ok,1,
job,9a,102.041,ok,1,
job,9b,125.212,ok,1,
job,9c,105.192,ok,1,
job,9d,104.726,ok,1,
redbench,q0000,14.131,ok,1,
redbench,q0001,5.270,ok,1,
redbench,q0002,6.741,ok,1,
redbench,q0003,2.289,ok,1,
redbench,q0004,2.940,ok,1,
redbench,q0005,3.290,ok,1,
redbench,q0006,4.542,ok,1,
redbench,q0007,4.173,ok,1,
redbench,q0008,2.586,ok,1,
redbench,q0009,5.600,ok,1,
redbench,q0010,2.601,ok,1,
redbench,q0011,1.967,ok,1,
redbench,q0012,1.926,ok,1,
redbench,q0013,3.625,ok,1,
redbench,q0014,1.506,ok,1,
redbench,q0015,5.564,ok,1,
redbench,q0016,1.407,ok,1,
redbench,q0017,4.685,ok,1,
redbench,q0018,6.189,ok,1,
redbench,q0019,2.946,ok,1,
redbench,q0020,2.148,ok,1,
redbench,q0021,5.876,ok,1,
redbench,q0022,1.790,ok,1,
redbench,q0023,7.215,ok,1,
redbench,q0024,1.683,ok,1,
redbench,q0025,1.529,ok,1,
redbench,q0026,5.856,ok,1,
redbench,q0027,5.833,ok,1,
redbench,q0028,1.601,ok,1,
redbench,q0029,1.994,ok,1,
redbench,q0030,4.267,ok,1,
redbench,q0031,1.443,ok,1,
redbench,q0032,1.387,ok,1,
redbench,q0033,1.361,ok,1,
redbench,q0034,2.509,ok,1,
redbench,q0035,1.343,ok,1,
redbench,q0036,2.480,ok,1,
redbench,q0037,2.043,ok,1,
redbench,q0038,2.940,ok,1,
redbench,q0039,2.623,ok,1,
redbench,q0040,5.309,ok,1,
redbench,q0041,1.377,ok,1,
redbench,q0042,1.872,ok,1,
redbench,q0043,1.615,ok,1,
redbench,q0044,5.224,ok,1,
redbench,q0045,2.989,ok,1,
redbench,q0046,6.941,ok,1,
redbench,q0047,6.458,ok,1,
redbench,q0048,1.475,ok,1,
redbench,q0049,6.483,ok,1,
redbench,q0050,1.446,ok,1,
redbench,q0051,1.464,ok,1,
redbench,q0052,1.326,ok,1,
redbench,q0053,4.603,ok,1,
redbench,q0054,1.366,ok,1,
redbench,q0055,2.033,ok,1,
redbench,q0056,5.125,ok,1,
redbench,q0057,2.594,ok,1,
redbench,q0058,6.039,ok,1,
redbench,q0059,3.062,ok,1,
redbench,q0060,4.786,ok,1,
redbench,q0061,1.825,ok,1,
redbench,q0062,1.404,ok,1,
redbench,q0063,1.629,ok,1,
redbench,q0064,3.548,ok,1,
redbench,q0065,2.560,ok,1,
redbench,q0066,4.487,ok,1,
redbench,q0067,2.600,ok,1,
redbench,q0068,1.385,ok,1,
redbench,q0069,1.545,ok,1,
redbench,q0070,2.337,ok,1,
redbench,q0071,1.434,ok,1,
redbench,q0072,5.221,ok,1,
redbench,q0073,1.376,ok,1,
redbench,q0074,3.488,ok,1,
redbench,q0075,3.435,ok,1,
redbench,q0076,2.311,ok,1,
redbench,q0077,3.581,ok,1,
redbench,q0078,6.986,ok,1,
redbench,q0079,2.169,ok,1,
redbench,q0080,1.760,ok,1,
redbench,q0081,1.713,ok,1,
redbench,q0082,5.052,ok,1,
redbench,q0083,1.502,ok,1,
redbench,q0084,3.130,ok,1,
redbench,q0085,5.317,ok,1,
redbench,q0086,6.231,ok,1,
redbench,q0087,2.145,ok,1,
redbench,q0088,1.404,ok,1,
redbench,q0089,1.379,ok,1,
redbench,q0090,1.786,ok,1,
redbench,q0091,1.320,ok,1,
redbench,q0092,4.522,ok,1,
redbench,q0093,12.523,ok,1,
redbench,q0094,4.859,ok,1,
redbench,q0095,3.239,ok,1,
redbench,q0096,2.236,ok,1,
redbench,q0097,1.906,ok,1,
redbench,q0098,1.648,ok,1,
redbench,q0099,1.573,ok,1,
redbench,q0100,4.370,ok,1,
redbench,q0101,5.338,ok,1,
redbench,q0102,3.350,ok,1,
redbench,q0103,3.107,ok,1,
redbench,q0104,3.357,ok,1,
redbench,q0105,1.428,ok,1,
redbench,q0106,1.819,ok,1,
redbench,q0107,2.036,ok,1,
redbench,q0108,6.770,ok,1,
redbench,q0109,2.528,ok,1,
redbench,q0110,4.964,ok,1,
redbench,q0111,2.470,ok,1,
redbench,q0112,1.531,ok,1,
redbench,q0113,1.659,ok,1,
redbench,q0114,3.174,ok,1,
redbench,q0115,1.566,ok,1,
redbench,q0116,1.767,ok,1,
redbench,q0117,1.454,ok,1,
redbench,q0118,1.755,ok,1,
redbench,q0119,1.540,ok,1,
redbench,q0120,2.834,ok,1,
redbench,q0121,2.453,ok,1,
redbench,q0122,3.930,ok,1,
redbench,q0123,2.583,ok,1,
redbench,q0124,2.413,ok,1,
redbench,q0125,1.536,ok,1,
redbench,q0126,1.676,ok,1,
redbench,q0127,2.322,ok,1,
redbench,q0128,3.145,ok,1,
redbench,q0129,2.058,ok,1,
redbench,q0130,4.109,ok,1,
redbench,q0131,3.725,ok,1,
redbench,q0132,1.489,ok,1,
redbench,q0133,1.546,ok,1,
redbench,q0134,2.576,ok,1,
redbench,q0135,2.444,ok,1,
redbench,q0136,2.101,ok,1,
redbench,q0137,3.109,ok,1,
redbench,q0138,3.124,ok,1,
redbench,q0139,2.591,ok,1,
redbench,q0140,1.785,ok,1,
redbench,q0141,1.502,ok,1,
redbench,q0142,3.361,ok,1,
redbench,q0143,2.988,ok,1,
redbench,q0144,1.418,ok,1,
redbench,q0145,2.702,ok,1,
redbench,q0146,2.153,ok,1,
redbench,q0147,5.344,ok,1,
redbench,q0148,4.009,ok,1,
redbench,q0149,1.687,ok,1,
redbench,q0150,1.553,ok,1,
redbench,q0151,1.577,ok,1,
redbench,q0152,1.512,ok,1,
redbench,q0153,2.706,ok,1,
redbench,q0154,2.542,ok,1,
redbench,q0155,2.316,ok,1,
redbench,q0156,1.437,ok,1,
redbench,q0157,1.852,ok,1,
redbench,q0158,1.489,ok,1,
redbench,q0159,1.993,ok,1,
redbench,q0160,1.924,ok,1,
redbench,q0161,3.036,ok,1,
redbench,q0162,87.999,ok,1,
redbench,q0163,2.678,ok,1,
redbench,q0164,4.165,ok,1,
redbench,q0165,31.307,ok,1,
redbench,q0166,81.387,ok,1,
redbench,q0167,64.655,ok,1,
redbench,q0168,70.380,ok,107,
redbench,q0169,76.407,ok,1,
redbench,q0170,101.510,ok,0,
redbench,q0171,3.030,ok,1,
redbench,q0172,4.841,ok,1,
redbench,q0173,1.706,ok,1,
redbench,q0174,42.506,ok,1,
redbench,q0175,2.805,ok,1,
redbench,q0176,3.215,ok,1,
redbench,q0177,1.600,ok,1,
redbench,q0178,3.089,ok,1,
redbench,q0179,31.731,ok,1,
redbench,q0180,5.435,ok,1,
redbench,q0181,1.803,ok,1,
redbench,q0182,1.611,ok,1,
redbench,q0183,4.452,ok,1,
redbench,q0184,1.428,ok,1,
redbench,q0185,1.422,ok,1,
redbench,q0186,5.256,ok,1,
redbench,q0187,1.423,ok,1,
redbench,q0188,32.260,ok,1,
redbench,q0189,4.999,ok,1,
redbench,q0190,1.788,ok,1,
redbench,q0191,1.589,ok,1,
redbench,q0192,33.871,ok,1,
redbench,q0193,2.146,ok,1,
redbench,q0194,1.703,ok,1,
redbench,q0195,1.552,ok,1,
redbench,q0196,2.382,ok,1,
redbench,q0197,1.915,ok,1,
redbench,q0198,28.546,ok,1,
redbench,q0199,1.944,ok,1,
redbench,q0200,2.482,ok,1,
redbench,q0201,2.132,ok,1,
redbench,q0202,31.615,ok,1,
redbench,q0203,2.306,ok,1,
redbench,q0204,2.326,ok,1,
redbench,q0205,1.984,ok,1,
redbench,q0206,1.626,ok,1,
redbench,q0207,1.599,ok,1,
redbench,q0208,1.512,ok,1,
redbench,q0209,1.964,ok,1,
redbench,q0210,50.624,ok,1,
redbench,q0211,2.025,ok,1,
redbench,q0212,2.324,ok,1,
redbench,q0213,1.947,ok,1,
redbench,q0214,2.585,ok,1,
redbench,q0215,29.227,ok,1,
redbench,q0216,1.962,ok,1,
redbench,q0217,1.671,ok,1,
redbench,q0218,1.954,ok,1,
redbench,q0219,3.678,ok,1,
redbench,q0220,1.533,ok,1,
redbench,q0221,1.494,ok,1,
redbench,q0222,1.389,ok,1,
redbench,q0223,1.559,ok,1,
redbench,q0224,1.850,ok,1,
redbench,q0225,1.677,ok,1,
redbench,q0226,1.430,ok,1,
redbench,q0227,31.875,ok,1,
redbench,q0228,2.326,ok,1,
redbench,q0229,1.522,ok,1,
redbench,q0230,32.578,ok,1,
redbench,q0231,2.921,ok,1,
redbench,q0232,1.741,ok,1,
redbench,q0233,1.909,ok,1,
redbench,q0234,1.857,ok,1,
redbench,q0235,2.211,ok,1,
redbench,q0236,1.711,ok,1,
redbench,q0237,1.529,ok,1,
redbench,q0238,1.546,ok,1,
redbench,q0239,1.533,ok,1,
redbench,q0240,2.931,ok,1,
redbench,q0241,4.397,ok,1,
redbench,q0242,1.624,ok,1,
redbench,q0243,3.036,ok,1,
redbench,q0244,79.926,ok,1,
redbench,q0245,2.458,ok,1,
redbench,q0246,2.285,ok,1,
redbench,q0247,26.276,ok,1,
redbench,q0248,1.856,ok,1,
redbench,q0249,2.467,ok,1,
redbench,q0250,2.005,ok,1,
redbench,q0251,1.329,ok,1,
